部類,水産営業(％),水産経常(％),青果営業(％),青果経常(％),花き営業(％),花き経常(％)
27年度,0.50,0.63,0.50,0.66,0.49,0.64
26年度,0.47,0.62,0.37,0.50,0.57,0.75
25年度,0.46,0.59,0.45,0.59,0.72,0.87
