年月日,市場名及び統廃合等の理由,増減(社)
平成14年10月,築地市場青果部事業統合,-1
平成14年10月,北足立市場青果部合併,-1
平成15年4月,大田市場青果部合併,-1
平成17年6月,淀橋市場青果部事業統合,-1
平成20年7月,淀橋市場松原分場を世田谷市場に統合（世田谷市場青果部新会社設立）,1
平成23年6月,大田市場水産物部業務廃止,1
平成24年4月,足立市場水産物部事業譲渡,支社のため業者数は変わらない
平成25年1月,北足立市場花き部業務廃止,-1
