科目,平成27年度（Ａ）(千円),平成27年度（Ａ）構成比(％),平成26年度（Ｂ）(千円),平成26年度（Ｂ）構成比(％),対前年度指数（Ａ/Ｂ）(％)
流動資産現金・預金,22550138,36.1,20489951,33.46,110.05
流動資産売掛金,8452016,13.53,9758938,15.94,86.61
流動資産受取手形,0,0,0,0,
流動資産有価証券,1261253,2.02,257616,0.42,489.59
流動資産荷主前渡金,232011,0.37,495388,0.81,46.83
流動資産（当座資産計）,32495418,52.02,31001893,50.63,104.82
流動資産商品,485699,0.78,387074,0.63,125.48
流動資産短期貸付金,291086,0.47,391635,0.64,74.33
流動資産その他,761309,1.22,857877,1.4,88.74
流動資産貸倒引当金,-64620,-0.1,-82605,-0.13,
流動資産計,33968892,54.38,32555874,53.17,104.34
固定資産建物・設備等,18250698,29.22,18171963,29.68,100.43
固定資産減価償却累計額,-11733070,-18.78,-11411847,-18.64,
固定資産土地,7539951,12.07,7564450,12.35,99.68
固定資産建設仮勘定,0,0,0,0,
固定資産（有形固定資産計）,14057579,22.5,14324566,23.39,98.14
固定資産（無形固定資産計）,1050701,1.68,1001769,1.64,104.88
固定資産投資有価証券,8122855,13,7805183,12.75,104.07
固定資産子会社株式,1600997,2.56,1635397,2.67,97.9
固定資産出資金,366180,0.59,366080,0.6,100.03
固定資産長期貸付金,2236341,3.58,2326026,3.8,96.14
固定資産開設者預託保証金,123500,0.2,116500,0.19,106.01
固定資産長期前払費用,48879,0.08,38792,0.06,126
固定資産その他,1253249,2.01,1591589,2.6,78.74
固定資産貸倒引当金,-364138,-0.58,-528430,-0.86,
固定資産（投資その他の資産計）,13387863,21.43,13351137,21.8,100.28
固定資産計,28496143,45.62,28677472,46.83,99.37
繰延資産,0,0,0,0,
資産合計,62465035,100,61233346,100,102.01
流動負債受託販売未払金,2898266,4.64,3414410,5.58,84.88
流動負債買掛金,4057807,6.5,4293082,7.01,94.52
流動負債支払手形,0,0,0,0,
流動負債短期借入金,337492,0.54,327492,0.53,103.05
流動負債未払税金,1078382,1.73,1026284,1.68,105.08
流動負債賞与引当金,507903,0.81,442812,0.72,114.7
流動負債その他,2178884,3.49,1943853,3.17,112.09
流動負債計,11058734,17.7,11447933,18.7,96.6
固定負債長期借入金,908866,1.45,1227452,2,74.04
固定負債退職給付引当金,2971491,4.76,3215678,5.25,92.41
固定負債その他,2079865,3.33,2198408,3.59,94.61
固定負債計,5960222,9.54,6641538,10.85,89.74
負債合計,17018956,27.25,18089471,29.54,94.08
純資産資本金,2555600,4.09,2555600,4.17,100
純資産資本剰余金,1973085,3.16,1973087,3.22,100
純資産利益剰余金,39644504,63.47,37641235,61.47,105.32
純資産（うち当期純利益）,2369758,3.79,969293,1.58,244.48
純資産自己株式,-113162,-0.18,-105090,-0.17,
純資産その他株主資本,0,0,0,0,
純資産評価・換算差額等,1386052,2.22,1079043,1.76,128.45
純資産新株予約権,0,0,0,0,
純資産計,45446079,72.75,43143875,70.46,105.34
負債・純資産合計,62465035,100,61233346,100,102.01
