年度,総数,23区,多摩,都外,備考
H01,41,23,0,18,
H04,113,59,3,51,
H07,199,113,7,78,
H10,441,266,6,162,
H13,490,123,45,321,
H16,637,202,69,349,
H21,758,166,43,542,
,,,,,単位：千本
