市場／環境基準,二酸化窒素（NO2）箇所,二酸化窒素（NO2）（平均値）,一酸化炭素（CO）箇所,一酸化炭素（CO）（平均値）,浮遊粒子状物質（SPM）箇所,浮遊粒子状物質（SPM）（平均値）,二酸化窒素（NO2）市場,一酸化炭素（CO）市場,浮遊粒子状物質（SPM）市場,備考
築地市場,８箇所中５箇所,（１日平均値）0.055～0.078ppm,８箇所中３箇所,（１日平均値）1.5～23.2ppm、（８時間平均値）2.1～30.3ppm,,,,,,
食肉市場,,,,,,,,,,
大田市場,,,,,,,,,,
豊島市場,,,,,,,,,,
淀橋市場,３箇所中１箇所,（１日平均値）0.038～0.063ppm,,,３箇所中１箇所,（１日平均値）0.028～0.104mg/m3,,,,
足立市場,,,,,,,,,,
板橋市場,,,,,,,,,,
世田谷市場,,,,,,,,,,
北足立市場,３箇所中１箇所,（１日平均値）0.046～0.061ppm,,,,,,,,
多摩NT市場,,,,,,,,,,
葛西市場,３箇所中１箇所,（１日平均値）0.052～0.066ppm,,,,,,,,
合計,４０箇所中８箇所,,４０箇所中３箇所,,１１市場中１市場,４０箇所中１箇所,１１市場中４市場,１１市場中１市場,１１市場中１市場,
,,,,,,,,,,二酸化窒素（NO2）：１時間値の１日平均値が0.04ppmから0.06ppmまでの範囲内又はそれ以下であること
,,,,,,,,,,一酸化炭素（CO）：１時間値の１日平均値が10ppm以下であり、かつ１時間値の８時間平均値が20ppm以下であること
,,,,,,,,,,浮遊粒子状物質（SPM）：１時間値の１日平均値が0.10mg/m3以下であり、かつ１時間値が0.20mg/m3以下であること
,,,,,,,,,,※１日平均値とは、期間中（３日間）のうち、最も濃度が高くなった日の平均値。
,,,,,,,,,,※８時間平均値とは、２４時間を８時間毎（0～8時、8～16時、16～24時）に区分した平均値。
