部類,増加した業者(％),減少した業者(％),不明(％)
全体,47.8,47.2,5.0
水産物部,45.4,48.4,6.2
青果部,50.8,46.2,3.0
花き部,43.9,53.7,2.4
食肉部,73.1,23.1,3.8
