地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,539600,100.0,373,100.0,116815,100.0,174,100.0,11301,100.0,14,100.0,0,-,0,-,30637,100.0,21,100.0,24543,100.0,16,100.0,0,-,0,-,20104,100.0,44,100.0,4919,100.0,2,100.0,186114,100.0,55,100.0,5287,100.0,4,100.0,0,-,0,-,43799,100.0,14,100.0,95963,100.0,24,100.0,117,100.0,1,100.0,0,-,4,100.0,
都内計,281670,52.2,268,71.8,111684,95.6,152,87.4,7937,70.2,13,92.9,0,-,0,-,30637,100.0,21,100.0,10652,43.4,13,81.3,0,-,0,-,14868,74.0,40,90.9,0,0.0,0,0.0,100605,54.1,25,45.5,5287,100.0,4,100.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
23区計,276326,51.2,260,69.7,110163,94.3,150,86.2,7937,70.2,13,92.9,0,-,0,-,30637,100.0,21,100.0,8059,32.8,10,62.5,0,-,0,-,14105,70.2,39,88.6,0,0.0,0,0.0,100139,53.8,23,41.8,5287,100.0,4,100.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
千代田区,944,0.2,3,0.8,58,0.0,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,886,4.4,2,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
中央区,14223,2.6,4,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,897,4.5,3,6.8,0,0.0,0,0.0,13325,7.2,1,1.8,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
港区,2223,0.4,5,1.3,1424,1.2,2,1.1,0,0.0,0,0.0,0,-,0,-,341,1.1,2,9.5,0,0.0,0,0.0,0,-,0,-,458,2.3,1,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
新宿区,21248,3.9,14,3.8,13392,11.5,7,4.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,561,2.8,3,6.8,0,0.0,0,0.0,4139,2.2,3,5.5,3156,59.7,1,25.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
文京区,16945,3.1,30,8.0,13028,11.2,20,11.5,1633,14.4,2,14.3,0,-,0,-,1141,3.7,1,4.8,0,0.0,0,0.0,0,-,0,-,1144,5.7,7,15.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
台東区,41312,7.7,13,3.5,959,0.8,3,1.7,227,2.0,1,7.1,0,-,0,-,0,0.0,0,0.0,759,3.1,1,6.3,0,-,0,-,997,5.0,2,4.5,0,0.0,0,0.0,38371,20.6,6,10.9,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
墨田区,7768,1.4,4,1.1,7003,6.0,3,1.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,765,3.8,1,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
江東区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
品川区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
目黒区,1426,0.3,1,0.3,1426,1.2,1,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
大田区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
世田谷区,1176,0.2,3,0.8,349,0.3,1,0.6,0,0.0,0,0.0,0,-,0,-,222,0.7,1,4.8,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,606,0.3,1,1.8,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
渋谷区,965,0.2,4,1.1,219,0.2,1,0.6,0,0.0,0,0.0,0,-,0,-,173,0.6,1,4.8,0,0.0,0,0.0,0,-,0,-,573,2.9,2,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
中野区,1450,0.3,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,877,3.6,1,6.3,0,-,0,-,573,2.9,1,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
杉並区,2765,0.5,3,0.8,185,0.2,1,0.6,0,0.0,0,0.0,0,-,0,-,2007,6.6,1,4.8,0,0.0,0,0.0,0,-,0,-,573,2.9,1,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
豊島区,47514,8.8,69,18.5,31954,27.4,48,27.6,1724,15.3,2,14.3,0,-,0,-,8390,27.4,6,28.6,1684,6.9,4,25.0,0,-,0,-,1207,6.0,4,9.1,0,0.0,0,0.0,2441,1.3,3,5.5,113,2.1,2,50.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
北区,29363,5.4,42,11.3,18562,15.9,26,14.9,2594,23.0,4,28.6,0,-,0,-,2007,6.5,2,9.5,2345,9.6,1,6.3,0,-,0,-,3633,18.1,8,18.2,0,0.0,0,0.0,222,0.1,1,1.8,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,0.0,
