年度,一般廃棄物(魚腸骨除く)（トン）,魚腸骨（トン）,産業廃棄物(発泡除く)（トン）,発泡廃棄物（トン）,合計（トン）
16,30848,6509,6662,4428,48447
17,29897,7288,6679,4156,48020
18,26595,6866,6807,3519,43787
19,25259,6905,6456,3456,42076
