項目・部類,水産物部,青果部,花き部,計
総取扱金額（売上高）(万円),49987105,55835679,8376096,114198880
売上総利益(万円),2345680,3873400,806134,7025214
販売費及び一般管理費(万円),2097427,3593146,764764,6455337
営業利益(万円),248253,280255,41370,569878
営業利益率(％),0.50,0.50,0.49,0.50
経常利益(万円),315695,366256,54006,735957
経常利益率(％),0.63,0.66,0.64,0.64
