部類,経常利益［黒字業者］(％),前年調査経常利益［黒字業者］(％),経常損失［赤字業者］(％),前年調査経常損失［赤字業者］(％)
全体,65.9,62.8,34.1,37.2
水産物部,61.6,58.5,38.4,41.5
青果部,73.1,70.6,26.9,29.4
花き部,70.7,64.3,29.3,35.7
食肉部,76.9,72.0,23.1,28.0
