区分,総数,切花(本),切葉(枚),切枝(束),鉢物計(鉢),鉢物鉢花(鉢),鉢物らん鉢(鉢),鉢物観葉植物(鉢),鉢物観賞樹(鉢),苗物(箱),その他花き(箱)
全市場数量,,90.0,87.2,96.9,103.7,98.7,113.0,108.1,102.7,105.9,104.8
全市場金額,99.0,97.3,97.2,104.6,109.5,103.9,107.9,114.4,110.9,109.8,108.0
北足立市場数量,,93.5,86.1,100.0,111.7,115.6,119.8,112.7,61.3,127.2,120.7
北足立市場金額,102.6,102.1,98.6,104.7,109.7,111.6,111.8,110.4,74.9,123.0,102.5
大田市場数量,,90.1,85.6,96.3,100.6,99.8,118.8,100.6,90.1,102.1,114.9
大田市場金額,98.3,96.4,96.5,104.7,111.1,107.0,108.8,116.9,104.2,108.0,114.9
板橋市場数量,,88.0,81.7,106.8,93.0,95.4,100.2,94.5,62.5,107.0,116.1
板橋市場金額,96.0,95.8,85.8,110.9,95.0,89.1,92.8,118.1,73.8,108.3,152.9
葛西市場数量,,88.2,86.5,94.5,105.9,91.8,96.7,132.0,107.9,107.0,103.2
葛西市場金額,97.1,96.0,96.2,98.1,104.0,101.4,110.0,104.3,81.5,94.9,105.6
世田谷市場数量,,88.3,101.3,92.2,109.7,96.6,104.8,118.8,115.6,114.1,54.4
世田谷市場金額,103.1,100.2,106.3,103.9,110.2,95.3,108.1,112.8,131.4,117.7,58.0
