区分,種類,合計,東京中央漬物,東京東梅食品,東京中央鳥卵,東京食肉市場取扱数量(トン),東京食肉市場売上金額(千円),
買付数量,漬物(トン),8093,7033,1060,,,,
買付数量,鶏卵・食鳥(トン),4949,,,4949,,,
買付数量,その他(トン),0,,,,,,
買付数量,当年度計（Ａ）(トン),13042,7033,1060,4949,,,
買付数量,前年度計（Ｂ）(トン),12914,6664,1596,4654,,,
買付数量,前年対比（Ａ/Ｂ）(％),100.99,105.54,66.42,106.34,,,
買付売上金額,漬物(千円),5046794,4539969,506825,,,,
買付売上金額,鶏卵・食鳥(千円),1435721,,,1435721,,,
買付売上金額,その他(千円),0,,,,,,
買付売上金額,当年度計（Ａ）(千円),6482515,4539969,506825,1435721,,,
買付売上金額,前年度計（Ｂ）(千円),6365769,4310676,765949,1289144,,,
買付売上金額,前年対比（Ａ/Ｂ）(％),101.83,105.32,66.17,111.37,,,
受託物品,牛,,,,,59936,121971933,
受託物品,豚,,,,,16782,8303559,
受託物品,その他,,,,,,1807188,
受託物品,当年度計（Ａ）,,,,,76718,132082680,
受託物品,前年度計（Ｂ）,,,,,83533,122883677,
受託物品,前年対比（Ａ/Ｂ）(％),,,,,91.84,107.49,
買付物品,牛,,,,,2626,5274614,
買付物品,豚,,,,,639,247406,
買付物品,その他,,,,,,141671,
買付物品,当年度計（Ａ）,,,,,3265,5663691,
買付物品,前年度計（Ｂ）,,,,,3598,5039383,
買付物品,前年対比（Ａ/Ｂ）(％),,,,,90.74,112.39,
合計,牛,,,,,62562,127246547,
合計,豚,,,,,17421,8550965,
合計,その他,,,,,,1948859,
合計,当年度計（Ａ）,,,,,79983,137746371,
合計,前年度計（Ｂ）,,,,,87131,127923060,
合計,前年対比（Ａ/Ｂ）(％),,,,,91.8,107.68,
構成比,受託物品(％),,,,,95.92,95.89,
構成比,買付物品(％),100,100,100,100,4.08,4.11,
構成比,合計(％),100,100,100,100,100,100,
,,,,,,,,（注）消費税込み
