種別,取扱物品,率1,率2,備考
卸売業者の卸売金額,水産物・青果・花き,1000分の4.0,(1000分の2.5),
卸売業者の卸売金額,食肉,1000分の4.0,(1000分の2.0),
卸売業者の卸売金額,その他（鳥肉、鳥卵など）,1000分の4.0,(1000分の1.25),
仲卸業者の販売金額（いわゆる直荷）,水産物・青果・花き,1000分の4.0,(1000分の2.5),
仲卸業者の販売金額（いわゆる直荷）,食肉,1000分の4.0,(1000分の2.0),
仲卸業者の販売金額（いわゆる直荷）,その他（鳥肉、鳥卵など）,1000分の4.0,(1000分の1.25),
関連事業者の販売金額,生鮮食料品,1000分の4.0,(1000分の1.0),
,,,,※条例で規定する上限額と異なる使用料単価を規則で別に定めている場合、その単価は（）で表記した。
