部類,区分,平成23年度(業者),平成24年度(業者),平成25年度(業者),平成26年度(業者),平成27年度(業者)
水産物部,業者数,8,8,8,8,8
水産物部,赤字業者数,1,3,0,0,0
青果部,業者数,10,10,10,10,10
青果部,赤字業者数,0,2,1,1,1
食肉部,業者数,1,1,1,1,1
食肉部,赤字業者数,0,0,0,0,0
花き部,業者数,8,7,7,7,7
花き部,赤字業者数,0,1,0,0,0
合計,業者数,27,26,26,26,26
合計,赤字業者数,1,6,1,1,1
（注）赤字業者数は、経常損益による。,,,,,,
