区分,種類,合計,東都水産,大都魚類,中央魚類,築地魚市場,第一水産,綜合食品,丸千千代田水産,東京北魚
受託物品,生鮮水産物(トン),72506,16363,19839,18391,7398,8993,0,0,1522
受託物品,冷凍水産物(トン),18576,4859,3801,5073,2603,2036,0,0,204
受託物品,塩干加工品(トン),21342,2661,4565,3653,4291,2013,813,1112,2234
受託物品,当年度計（Ａ）(トン),112424,23883,28205,27117,14292,13042,813,1112,3960
受託物品,前年度計（Ｂ）(トン),123406,23872,30654,31158,16712,14691,821,1320,4178
受託物品,前年対比（Ａ/Ｂ）(％),91.10,100.05,92.01,87.03,85.52,88.78,99.03,84.24,94.78
買付物品,生鮮水産物(トン),126439,20388,26607,33565,28786,14136,0,0,2957
買付物品,冷凍水産物(トン),79701,11797,22908,22224,10871,4940,1200,3136,2625
買付物品,塩干加工品(トン),139602,12268,14196,15918,15568,9839,5048,63876,2889
買付物品,当年度計（Ａ）(トン),345742,44453,63711,71707,55225,28915,6248,67012,8471
買付物品,前年度計（Ｂ）(トン),353790,47885,66273,73266,58415,28947,6221,64562,8221
買付物品,前年対比（Ａ/Ｂ）(％),97.73,92.83,96.13,97.87,94.54,99.89,100.43,103.79,103.04
合計,生鮮水産物(トン),198945,36751,46446,51956,36184,23129,0,0,4479
合計,冷凍水産物(トン),98277,16656,26709,27297,13474,6976,1200,3136,2829
合計,塩干加工品(トン),160944,14929,18761,19571,19859,11852,5861,64988,5123
合計,当年度計（Ａ）(トン),458166,68336,91916,98824,69517,41957,7061,68124,12431
合計,前年度計（Ｂ）(トン),477196,71757,96927,104424,75127,43638,7042,65882,12399
合計,前年対比（Ａ/Ｂ）(％),96.01,95.23,94.83,94.64,92.53,96.15,100.27,103.40,100.26
構成比,受託物品(％),24.54,34.95,30.69,27.44,20.56,31.08,11.51,1.63,31.86
構成比,買付物品(％),75.46,65.05,69.31,72.56,79.44,68.92,88.49,98.37,68.14
構成比,合計(％),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
