地域,区部,区部,多摩地域,多摩地域,合計,合計
年,60,23,60,23,60,23
水産物市場,,,2,3,2,3
青果市場,4,1,16,6,20,7
青果・水産市場,,,2,0,2,0
花き市場,36,3,6,4,42,7
合計,40,4,26,13,66,17
