年度,業者,水産,青果,食肉,花き,備考
21,卸売業者,6.49,5.74,6.14,4.41,
21,仲卸業者,0.68,1.05,0.63,1.65,
,,,,,,※売上総利益（兼業業務を除く）は東京都中央卸売市場「卸売業者財務諸表」、「仲卸業者の経営状況」等に基づき算出
