区分,総数,切花(本),切葉(枚),切枝(束),鉢物計(鉢),鉢物鉢花(鉢),鉢物らん鉢(鉢),鉢物観葉植物(鉢),鉢物観賞樹(鉢),苗物(箱),その他花き(箱)
総数数量,,82906107,5159812,1214285,1324476,558198,73104,580392,112782,103524,92856
総数金額(円),6898690730,5557400025,168136151,264217271,725656567,144676975,268360118,261325410,51294064,154384409,28896307
北足立市場（開市日数25日）総数数量,,9996324,501723,200756,61124,37058,5715,16200,2151,5039,7463
北足立市場（開市日数25日）総数金額(円),743105184,659887690,16113166,20612370,38457481,7546681,18602914,11111699,1196187,7282721,751756
北足立市場（開市日数25日）第一花き数量,,9996324,501723,200756,61124,37058,5715,16200,2151,5039,7463
北足立市場（開市日数25日）第一花き金額(円),743105184,659887690,16113166,20612370,38457481,7546681,18602914,11111699,1196187,7282721,751756
大田市場（開市日数26日）総数数量,,50601135,3062089,341398,729887,313274,43801,338157,34655,66301,3794
大田市場（開市日数26日）総数金額(円),4118155873,3311036881,103924844,169763679,428001167,93339909,147003006,164085937,23572315,94945877,10483425
大田市場（開市日数26日）大田花き数量,,32275066,2219750,219680,63505,35302,12105,13415,2683,7030,66
大田市場（開市日数26日）大田花き金額(円),2398122224,2140173758,74488486,106428171,67448348,9881918,46142875,9592254,1831301,9138709,444752
大田市場（開市日数26日）ＦＡＪ数量,,18326069,842339,121718,666382,277972,31696,324742,31972,59271,3728
大田市場（開市日数26日）ＦＡＪ金額(円),1720033649,1170863123,29436358,63335508,360552819,83457991,100860131,154493683,21741014,85807168,10038673
板橋市場（開市日数21日）総数数量,,8284408,387190,187330,32701,19946,3715,7204,1836,2895,130
板橋市場（開市日数21日）総数金額(円),628292229,569723503,10612340,19949765,23939577,3946794,14840929,4310774,841080,3589803,477241
板橋市場（開市日数21日）東日本板橋数量,,8284408,387190,187330,32701,19946,3715,7204,1836,2895,130
板橋市場（開市日数21日）東日本板橋金額(円),628292229,569723503,10612340,19949765,23939577,3946794,14840929,4310774,841080,3589803,477241
葛西市場（開市日数21日）総数数量,,6867682,531315,126432,163588,81224,4995,64115,13254,7839,81346
葛西市場（開市日数21日）総数金額(円),575206470,455954219,13814005,13763555,63943334,15692112,21250901,24063421,2936900,10958978,16772379
葛西市場（開市日数21日）ＴＦポート数量,,6867682,531315,126432,163588,81224,4995,64115,13254,7839,81346
葛西市場（開市日数21日）ＴＦポート金額(円),575206470,455954219,13814005,13763555,63943334,15692112,21250901,24063421,2936900,10958978,16772379
世田谷市場（開市日数27日）総数数量,,7156558,677495,358369,337176,106696,14878,154716,60886,21450,123
世田谷市場（開市日数27日）総数金額(円),833930974,560797732,23671796,40127902,171315008,24151479,66662368,57753579,22747582,37607030,411506
世田谷市場（開市日数27日）世田谷花き数量,,7156558,677495,358369,914,30,864,20,0,0,0
世田谷市場（開市日数27日）世田谷花き金額(円),629174061,560797732,23671796,40127902,4576631,3348,4569503,3780,0,0,0
世田谷市場（開市日数27日）東京砧花き数量,,0,0,0,336262,106666,14014,154696,60886,21450,123
世田谷市場（開市日数27日）東京砧花き金額(円),204756913,0,0,0,166738377,24148131,62092865,57749799,22747582,37607030,411506
部類別平均価格(円),,67,33,218,548,259,3671,450,455,1491,311
