種別,水産,青果,食肉,花き,合計
構成比(％),35.8,49.5,5.9,8.8,100
売上高割使用料(％),79.5,51.5,55.4,39.6,60.7
面積割使用料(％),20.5,48.5,44.6,60.4,39.3
