項目,平成27年度（Ａ）(千円),平成27年度（Ａ）売上対比(％),平成26年度（Ｂ）(千円),平成26年度（Ｂ）売上対比(％),対前年度指数（Ａ/Ｂ）(％)
売上高実数受託販売金額,76321591,,77242471,,98.81
売上高実数買付販売金額,5761906,,3431974,,167.89
売上高実数卸売業務売上高,82083497,,80674445,,101.75
売上高実数兼業業務売上高,1677465,,1587375,,105.68
売上高実数売上高合計,83760962,,82261820,,101.82
売上高構成比受託販売(％),91.12,,93.90,,
売上高構成比買付販売(％),6.88,,4.17,,
売上高構成比卸売業務(％),98.00,,98.07,,
売上高構成比兼業業務(％),2.00,,1.93,,
卸売業務構成比率受託販売(％),92.98,,95.75,,
卸売業務構成比率買付販売(％),7.02,,4.25,,
売上損益受託販売手数料,7335438,8.76,7422704,9.02,98.82
売上損益受託販売手数料率(％),9.61,,9.61,,
売上損益買付販売損益,321045,0.38,153899,0.19,208.61
売上損益買付販売損益率(％),5.57,,4.48,,
売上損益兼業業務損益,404856,0.48,360943,0.44,112.17
売上損益兼業業務損益率(％),24.13,,22.74,,
売上損益売上総利益,8061339,9.62,7937546,9.65,101.56
売上損益売上総利益率(％),9.62,,9.65,,
販売費及び一般管理費販管費計,7647642,9.13,7466441,9.08,102.43
販売費及び一般管理費売上高割使用料,208226,0.25,204623,0.25,101.76
販売費及び一般管理費面積割使用料,413254,0.49,410950,0.50,100.56
販売費及び一般管理費出荷奨励金,77237,0.09,75229,0.09,102.67
販売費及び一般管理費完納奨励金,512,0.00,562,0.00,91.10
販売費及び一般管理費役員報酬,478543,0.57,462056,0.56,103.57
販売費及び一般管理費従業員給料手当,2987653,3.57,2939110,3.57,101.65
販売費及び一般管理費福利厚生費,578491,0.69,561890,0.68,102.95
販売費及び一般管理費退職給与金,86284,0.10,85549,0.10,100.86
販売費及び一般管理費退職給付引当金繰入,3556,0.00,4502,0.01,78.99
販売費及び一般管理費役員賞与,0,0.00,0,0.00,
販売費及び一般管理費その他人件費,540860,0.65,570500,0.69,94.80
販売費及び一般管理費（人件費等）,4675387,5.58,4623607,5.62,101.12
販売費及び一般管理費受託品事故損,30453,0.04,30543,0.04,99.71
販売費及び一般管理費交際費,32660,0.04,30455,0.04,107.24
販売費及び一般管理費公租公課,71673,0.09,72794,0.09,98.46
販売費及び一般管理費その他,2138240,2.55,2017678,2.45,105.98
営業利益,413697,0.49,471105,0.57,87.81
営業外収益受取利息及び配当金,51417,0.06,42082,0.05,122.18
営業外収益その他,89269,0.11,152425,0.19,58.57
営業外収益計,140686,0.17,194507,0.24,72.33
営業外費用支払利息及び割引料,12151,0.01,11695,0.01,103.90
営業外費用その他,2177,0.00,33234,0.04,6.55
営業外費用計,14328,0.02,44929,0.05,31.89
経常利益,540055,0.64,620683,0.75,87.01
特別利益,3312,0.00,838,0.00,395.23
特別損失,66664,0.08,77449,0.09,86.07
税引前当期利益,476703,0.57,544072,0.66,87.62
法人税等,181805,0.14,156768,0.19,115.97
法人税等調整額,9220,0.01,56718,0.07,16.26
当期純利益,285678,0.34,330586,0.40,86.42
