事項,27年度,26年度,前期比(％)
総取扱金額（売上高）(万円),49987105,50193826,99.59
卸売業務数量(トン),458166,477196,96.01
卸売業務金額(万円),43115159,43293736,99.59
卸売業務受託物品数量(トン),112424,123406,91.10
卸売業務金受託物品金額(万円),11298891,11707872,96.51
卸売業務買付物品数量(トン),345742,353790,97.73
卸売業務買付物品金額(万円),31816268,31585864,100.73
兼業業務金額(万円),6871946,6900090,99.59
売上総利益(万円),2345680,237613,98.95
受託販売手数料(万円),621090,643517,96.51
買付販売利益(万円),1391482,1378534,100.94
兼業業務利益(万円),333108,348562,95.57
売上総利益率(％),4.69,4.72,
販売費及び一般管理費(万円),2097427,2132230,98.37
営業利益(万円),248253,238383,104.14
営業利益率(％),0.50,0.47,
経常利益(万円),315695,311606,101.31
経常利益率(％),0.63,0.62,
