資産の部,資産の部(千円),負債及び純資産の部,負債及び純資産の部(千円)
(1)流動資産,59808968,(1)流動負債,41626010
現金,31000,受託販売未払金,1225236
預金,16456748,支払手形（受託）,0
売掛金,24883524,荷主預り金,46309
受取手形,201665,（小計）,1271545
有価証券,0,買掛金（買付）,13662463
親会社株式,0,支払手形（買付）,0
商品,15447926,預り金（買付）,38117
貯蔵品,5107,（小計）,13700580
前渡金,0,買掛金（その他）,251409
荷主前渡金,502669,支払手形（その他）,0
前払費用,84283,短期借入金,23069713
未収収益,4435,未払金,368593
立替金,41833,未払税金,726877
短期貸付金,2800117,未払費用,1249483
未収金,539566,前受金,17773
仮払金,2808,預り金（その他）,280402
繰延税金資産,161096,前受収益,6131
その他,137988,仮受金,1812
,,繰延税金負債,0
貸倒引当金,-1491797,賞与引当金,262797
,,その他,418895
(2)固定資産,35991958,(2)固定負債,12719750
１有形固定資産,15554581,長期借入金,4864198
建物・設備等,17144562,預り保証金,2448553
土地,7479420,長期繰延税金負債,1207046
建設仮勘定,1272757,退職給付引当金,3174380
減価償却累計額,-10342158,役員退職慰労引当金,365240
２無形固定資産,2937311,その他,660333
３投資その他の資産,17500066,,
投資有価証券,10759716,負債合計,54345760
子会社株式,3721024,,
出資金,1390,(1)株主資本,37815221
子会社出資金,0,１資本金,10630331
長期貸付金,3121318,２新株式申込証拠金,0
開設者預託保証金,163312,３資本剰余金,4939646
定期預金,0,資本準備金,4895544
長期前払費用,29017,その他資本剰余金,44102
事業者保険料,257630,４利益剰余金,23095665
長期繰延税金資産,65192,利益準備金,1965553
その他,3334495,その他利益剰余金,21130112
,,（うち繰越利益剰余金）,6504935
貸倒引当金,-3953028,（うち当期純利益）,3448859
,,５自己株式,-850421
(3)繰延資産,0,６自己株式申込証拠金,0
,,(2)評価・換算差額等,3639945
,,(3)新株予約権,0
,,純資産合計,41455166
資産合計,95800926,負債及び純資産合計,95800926
,,自己資本比率(％),43.3
,,流動比率(％),143.7
