地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
品川区,429,0.4,5,0.7,65,0.3,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,0.5,2,1.2,0,0.0,0,0.0,325,3.0,1,2.9,13,0.3,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
目黒区,13,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.3,1,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
大田区,680,0.6,3,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,650,2.5,1,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,0.5,1,9.1,8,0.1,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
世田谷区,32,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,0.6,1,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
渋谷区,130,0.1,1,0.1,130,0.6,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
中野区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
杉並区,214,0.2,3,0.4,19,0.1,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,195,0.7,1,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
豊島区,3626,3.2,12,1.8,13,0.1,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2940,11.2,2,2.5,0,0.0,0,0.0,0,0.0,0,0.0,130,2.6,4,2.3,0,0.0,0,0.0,357,3.3,2,5.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,123,0.6,1,2.1,5,0.1,1,2.2,58,4.3,1,10.0,
北区,2006,1.8,24,3.6,997,4.8,5,2.6,130,3.3,1,2.6,0,0.0,0,0.0,286,1.1,3,3.8,130,2.0,1,5.9,0,0.0,0,0.0,154,3.1,9,5.3,6,1.8,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,302,7.2,4,8.7,0,0.0,0,0.0,
荒川区,2123,1.9,63,9.4,1005,4.8,23,12.0,240,6.2,7,17.9,0,0.0,0,0.0,162,0.6,3,3.8,0,0.0,0,0.0,0,0.0,0,0.0,495,9.9,23,13.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,129,3.0,6,13.0,91,6.8,1,10.0,
板橋区,1680,1.5,9,1.3,1169,5.6,4,2.1,1,0.0,1,2.6,0,0.0,0,0.0,0,0.0,0,0.0,455,7.1,1,5.9,0,0.0,0,0.0,2,0.0,1,0.6,53,14.9,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
練馬区,219,0.2,5,0.7,10,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,162,0.6,1,1.3,0,0.0,0,0.0,0,0.0,0,0.0,13,0.3,1,0.6,0,0.0,0,0.0,32,0.3,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,2.2,0,0.0,0,0.0,
足立区,12355,11.0,175,26.1,3602,17.2,56,29.3,546,14.0,12,30.8,136,95.5,2,66.7,5097,19.5,20,25.3,131,2.0,3,17.6,0,0.0,0,0.0,850,16.9,45,26.3,8,2.3,2,25.0,410,3.8,5,14.7,925,20.8,2,18.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,364,8.6,25,54.3,285,21.2,3,30.0,
葛飾区,4318,3.8,50,7.5,473,2.3,20,10.5,292,7.5,4,10.3,0,0.0,0,0.0,3112,11.9,7,8.9,78,1.2,1,5.9,0,0.0,0,0.0,240,4.8,16,9.4,26,7.4,1,12.5,97,0.9,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
江戸川区,231,0.2,4,0.6,68,0.3,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.3,1,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,149,0.7,1,2.1,0,0.0,0,0.0,0,0.0,0,0.0,
