,全国総流通量A,全国市場B,割合B／A,全国中央卸売市場C,割合C／A,東京都中央卸売市場D,割合D／A,備考
水産物,5891,3072,52.1,2328,39.5,464,7.9,
青果物野菜,13899,9369,67.4,5830,41.9,1550,11.2,
青果物果実,7576,2983,39.4,1726,22.8,448,5.9,
青果物計,21475,12352,57.5,7556,35.2,2036,9.5,
食肉牛,1171,168,14.3,117,10,64,5.5,
食肉豚,2491,170,6.8,78,3.1,18,0.7,
食肉計,3662,338,9.2,195,5.3,82,2.2,
花き,4745,3647,76.9,1228,25.9,884,18.6,
,,,,,,,,（本表は27年のデータです）
,,,,,,,,（単位：千トン（花きは億円）、％）
,,,,,,,,注）単位未満を四捨五入してあるので、合計数値と内訳の合計とは一致しない場合がある。
,,,,,,,,（資料）平成30年7月発行農林水産省「卸売市場データ集」
