年度,市場,廃棄物種類,発生量（ｔ）,比率（％）
19,大田,一般廃棄物（魚腸骨除く）,8089,81.8
19,大田,魚腸骨,379,3.8
19,大田,発泡,116,1.2
19,大田,産業廃棄物（発泡除く）,1309,13.2
19,大田,合計,9893,100
