年,鮮魚(％),冷凍魚(％),加工品(％),その他(％),備考
1,20.4,33.7,35.9,10.0,
6,24.1,28.1,37.0,10.8,
11,27.2,25.0,36.6,11.2,
16,27.0,25.7,36.0,11.3,
21,30.6,23.4,35.3,10.7,
,,,,,※「その他」は、活魚・貝類・淡水魚・海藻類の合計
,,,,,※％は、構成比
