区分,総数,切花(本),切葉(枚),切枝(束),鉢物計(鉢),鉢物鉢花(鉢),鉢物らん鉢(鉢),鉢物観葉植物(鉢),鉢物観賞樹(鉢),苗物(箱),その他花き(箱)
総数数量,,886201203,71252393,28102981,30894462,16633079,1424202,8598999,4238182,3052562,683829
総数金額(円),89274124266,60003185530,2281549350,5118748519,16456846805,5616853111,4737481200,4020302410,2082210084,4967373733,446420329
北足立市場（開市日数308日）総数数量,,97353320,6910635,4074530,1652045,1136676,119673,207076,188620,170867,138929
北足立市場（開市日数308日）総数金額(円),8210127540,6375584534,207940874,401915009,933625307,341583531,365167331,139231270,87643175,269005750,22056066
北足立市場（開市日数308日）第一花き数量,,97353320,6910635,4074530,1652045,1136676,119673,207076,188620,170867,138929
北足立市場（開市日数308日）第一花き金額(円),8210127540,6375584534,207940874,401915009,933625307,341583531,365167331,139231270,87643175,269005750,22056066
大田市場（開市日数310日）総数数量,,529361765,42752011,10495908,16036291,8395678,808036,4904272,1928305,1904838,68252
大田市場（開市日数310日）総数金額(円),51875757344,35128988833,1403911071,3216691315,8877614667,3016822337,2551977047,2159029707,1149785576,2955965794,292585664
大田市場（開市日数310日）大田花き数量,,349372196,32713149,6885207,2667038,1806437,159815,483898,216888,211665,6341
大田市場（開市日数310日）大田花き金額(円),28546361810,23577812652,1060960977,2068770958,1546007485,562770556,678063843,177398324,127774762,252124759,40684979
大田市場（開市日数310日）ＦＡＪ数量,,179989569,10038862,3610701,13369253,6589241,648221,4420374,1711417,1693173,61911
大田市場（開市日数310日）ＦＡＪ金額(円),23329395534,11551176181,342950094,1147920357,7331607182,2454051781,1873913204,1981631383,1022010814,2703841035,251900685
板橋市場（開市日数258日）総数数量,,89200792,5941392,3951161,1006022,723494,74079,111207,97242,113358,5919
板橋市場（開市日数258日）総数金額(円),7585981724,6141771136,172724668,460516041,621903107,238758206,274522829,55929865,52692207,162732456,26334316
板橋市場（開市日数258日）東日本板橋数量,,89200792,5941392,3951161,1006022,723494,74079,111207,97242,113358,5919
板橋市場（開市日数258日）東日本板橋金額(円),7585981724,6141771136,172724668,460516041,621903107,238758206,274522829,55929865,52692207,162732456,26334316
葛西市場（開市日数303日）総数数量,,78302862,6753939,3006257,4969015,3141938,114248,1281744,431085,297172,464206
葛西市場（開市日数303日）総数金額(円),8347801306,5042800089,169490015,300511497,2291830161,929846394,380374321,838262297,143347149,483426130,59743414
葛西市場（開市日数303日）ＴＦポート数量,,78302862,6753939,3006257,4969015,3141938,114248,1281744,431085,297172,464206
葛西市場（開市日数303日）ＴＦポート金額(円),8347801306,5042800089,169490015,300511497,2291830161,929846394,380374321,838262297,143347149,483426130,59743414
世田谷市場（開市日数312日）総数数量,,91982464,8894416,6575125,7231089,3235293,308166,2094700,1592930,566327,6523
世田谷市場（開市日数312日）総数金額(円),13254456352,7314040938,327482722,739114657,3731873563,1089842643,1165439672,827849271,648741977,1096243603,45700869
世田谷市場（開市日数312日）世田谷花き数量,,91982464,8894416,6575125,14137,166,13497,330,144,16,0
世田谷市場（開市日数312日）世田谷花き金額(円),8458394220,7314040938,327482722,739114657,77639749,43081,77471022,42303,83343,116154,0
世田谷市場（開市日数312日）東京砧花き数量,,0,0,0,7216952,3235127,294669,2094370,1592786,566311,6523
世田谷市場（開市日数312日）東京砧花き金額(円),4796062132,0,0,0,3654233814,1089799562,1087968650,827806968,648658634,1096127449,45700869
部類別平均価格(円),,68,32,182,533,338,3326,468,491,1627,653
