部類,連続黒字業者(％),前年調査連続黒字業者(％),黒字転換業者(％),前年調査黒字転換業者(％),赤字転落業者(％),前年調査赤字転落業者(％),連続赤字業者(％),前年調査連続赤字業者(％),不明(％),前年調査不明(％)
全体,49.8,49.1,12.7,12.7,11.6,12.1,21.1,24.0,4.8,2.1
水産物部,44.9,45.9,12.4,11.7,11.9,13.3,24.8,27.0,6.0,2.1
青果部,58.7,55.1,12.3,13.9,11.0,10.0,15.3,18.4,2.7,2.6
花き部,48.9,50.0,19.5,14.3,14.6,16.7,14.6,19.0,2.4,0.0
食肉部,61.6,52.0,15.4,20.0,7.7,0.0,11.5,28.0,3.8,0.0
