業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,14,3,21.4,73,15,20.5,340,40,11.8,328,13,4.0,241,8,3.3,565,27,4.8,20,1,5.0
食料品等中心店,2,0,0.0,28,13,46.4,99,22,22.2,31,4,12.9,33,0,0.0,53,2,3.8,4,0,0.0
コンビニエンスストア,1,0,0.0,2,1,50.0,9,2,22.2,2,1,50.0,3,0,0.0,6,0,0.0,0,0,-
食料品スーパー,24,13,54.2,224,114,50.9,454,151,33.3,58,9,15.5,27,7,25.9,39,3,7.7,1,0,0.0
総合スーパー,18,8,44.4,233,72,30.9,62,31,50.0,34,5,14.7,5,0,0.0,9,1,11.1,1,0,0.0
百貨店,9,4,44.4,20,11,55.0,23,10,43.5,2,2,100.0,1,0,0.0,4,0,0.0,0,0,-
業務用,10,1,10.0,20,9,45.0,133,53,39.8,107,17,15.9,77,10,13.0,197,24,12.2,10,0,0.0
加工業者,7,1,14.3,35,4,11.4,17,10,58.8,2,1,50.0,3,1,33.3,14,1,7.1,0,0,-
問屋・納入業者,27,17,63.0,81,45,55.6,82,15,18.3,24,7,29.2,16,0,0.0,29,0,0.0,1,0,0.0
都内の中央卸売市場,13,8,61.5,27,7,25.9,23,10,43.5,5,2,40.0,6,0,0.0,8,1,12.5,1,0,0.0
都内の地方卸売市場,3,2,66.7,13,7,53.8,6,3,50.0,2,0,0.0,1,0,0.0,3,0,0.0,0,0,-
都外の中央卸売市場,26,16,61.5,17,7,41.2,11,1,9.1,2,2,100.0,0,0,-,0,0,-,0,0,-
都外の地方卸売市場,48,23,47.9,90,29,32.2,21,2,9.5,3,1,33.3,0,0,-,5,0,0.0,0,0,-
その他,12,5,41.7,24,11,45.8,45,18,40.0,5,1,20.0,7,1,14.3,7,0,0.0,1,0,0.0
不明,12,4,33.3,23,11,47.8,31,5,16.1,23,3,13.0,10,0,0.0,33,5,15.2,3,0,0.0
計,226,105,46.5,910,356,39.1,1356,373,27.5,628,68,10.8,430,27,6.3,972,64,6.6,42,1,2.4
