卸売業者,料率（千分比）／4.0,料率（千分比）／3.9～3.1,料率（千分比）／3.0,料率（千分比）／2.9～2.6,料率（千分比）／2.5,料率（千分比）／2.4～2.1,料率（千分比）／2.0,料率（千分比）／1.9～1.1,料率（千分比）／1.0,合計市場数,平均値,備考
青果,1,1,15,2,10,,,1,,30,2.79,
水産,1,,15,2,10,,,1,,29,2.78,
花き,,1,3,2,1,,1,,1,9,2.54,
食肉,,,2,,1,,6,,,9,2.28,
,,,,,,,,,,,,※資料「市場使用料の実態に関するアンケート調査（平成21年）」
,,,,,,,,,,,,※調査対象：31開設者37市場
,,,,,,,,,,,,※（参考）東京都の売上高割使用料料率･･･青果・水産・花き：2.5、食肉2.0
