年度,卸売業者,仲卸業者,関連事業者,その他,使用料収入合計,卸売業者％,仲卸業者等（卸売業者以外）％,金額単位
21,5614,2057,856,3065,11592,48.4,51.6,（百万円）
11,5831,1696,742,2559,10828,53.9,46.1,（百万円）
