年度,抜取調査年月日,市場名,抜取本数（本）,抜取調査結果
19,19.8.28,築地市場,62,混和本数0本
19,19.6.22,大田市場,74,混和本数4本
18,18.9.4,築地市場,77,混和本数0本
18,18.6.23,大田市場,75,混和本数2本
17,18.1.19,築地市場,75,混和本数5本
17,17.6.20,大田市場,103,混和本数5本
16,17.1.27,築地市場,97,混和本数7本
16,16.8.25,大田市場,118,混和本数11本
