区分,種類,合計,東都水産,大都魚類,中央魚類,築地魚市場,第一水産,綜合食品,丸千千代田水産,東京北魚,
受託物品,生鮮水産物(千円),83858327,22115627,19038000,20257931,11721034,9330173,0,0,1395562,
受託物品,冷凍水産物(千円),22179156,5631087,3950917,7500285,2662045,2228816,6,1787,204213,
受託物品,塩干加工品(千円),15990534,2626351,3533381,3092505,2959753,1276001,675020,693379,1134144,
受託物品,当年度計（Ａ）(千円),122028017,30373065,26522298,30850721,17342832,12834990,675026,695166,2733919,
受託物品,前年度計（Ｂ）(千円),126445212,29276439,27085634,33064230,19175648,13536472,630950,878810,2797029,
受託物品,前年対比（Ａ/Ｂ）(％),96.51,103.75,97.92,93.31,90.44,94.82,106.99,79.1,97.74,
買付物品,生鮮水産物(千円),127785528,18136162,30184568,32178784,25970256,17920111,0,0,3395647,
買付物品,冷凍水産物(千円),95819105,17022721,25992531,27718488,12031838,6495605,955559,2905249,2697114,
買付物品,塩干加工品(千円),120002818,14464586,13195619,17696400,13149666,9312370,6448503,43170187,2565487,
買付物品,当年度計（Ａ）(千円),343607451,49623469,69372718,77593672,51151760,33728086,7404062,46075436,8658248,
買付物品,前年度計（Ｂ）(千円),341122453,50768414,70980234,76342921,51527616,32043486,7495502,43721442,8242838,
買付物品,前年対比（Ａ/Ｂ）(％),100.73,97.74,97.74,101.64,99.27,105.26,98.78,105.38,105.04,
合計,生鮮水産物(千円),211643855,40251789,49222568,52436715,37691290,27250284,0,0,4791209,
合計,冷凍水産物(千円),117998261,22653808,29943448,35218773,14693883,8724421,955565,2907036,2901327,
合計,塩干加工品(千円),135993352,17090937,16729000,20788905,16109419,10588371,7123523,43863566,3699631,
合計,当年度計（Ａ）(千円),465635468,79996534,95895016,108444393,68494592,46563076,8079088,46770602,11392167,
合計,前年度計（Ｂ）(千円),467567665,80044853,98065868,109407151,70703264,45579958,8126452,44600252,11039867,
合計,前年対比（Ａ/Ｂ）(％),99.59,99.94,97.79,99.12,96.88,102.16,99.42,104.87,103.19,
構成比,受託物品(％),26.21,37.97,27.66,28.45,25.32,27.56,8.36,1.49,24,
構成比,買付物品(％),73.79,62.03,72.34,71.55,74.68,72.44,91.64,98.51,76,
構成比,合計(％),100,100,100,100,100,100,100,100,100,
,,,,,,,,,,,（注）消費税込み
