市場,排出量実績（平成16年度）（トン）,目標削減量（平成21年度）（トン）,目標削減率（％）
築地市場,23933,2909,12.2
食肉市場,19194,786,4.1
大田市場,17041,1092,6.4
〔小計〕,60168,4787,8.0
その他市場,15912,1195,7.5
〔合計〕,76080,5983,7.8
