市場,売上総利益率(％),経常利益率(％)
全体,17.0,0.4
北足立市場,21.5,0.7
大田市場,14.4,0.3
板橋市場,29.8,1.9
葛西市場,17.3,-0.6
世田谷市場,16.6,0.1
