事項,27年度,26年度,前期比(％)
総資産(万円),6246504,6123335,102.01
負債(万円),1701896,1808947,94.08
純資産(万円),4544608,4314388,105.34
自己資本比率(％),72.75,70.46,
流動比率(％),307.17,284.38,
