地域,割合(％),搬出量(トン)
都内,43.0,
都内23区,42.5,
都内多摩,0.5,
首都圏,37.0,
首都圏埼玉,13.1,
首都圏千葉,9.4,
首都圏神奈川,14.5,
その他,18.3,
不明,1.7,
総数,100,421
