市場名,主な指定箇所,面積（m2）,違反車両数,備考
築地市場,東京都冷蔵庫、◎仮設卸売場A2棟第一低温卸売場、○旧第一低温卸売場、◎第二低温卸売場、勝どき駐車場塩干合物卸売場、◎勝どき駐車場低温倉庫、塩干物冷蔵庫,10272.4,16,
食肉市場,センタービル地下1階・1階冷蔵庫、センタービル3階加工場,1792.0,0,
大田市場,○青果部定温卸売場、水産物部定温卸売場、花き部定温倉庫,5250.81,12,
豊島市場,第一定温卸売場､○第二定温卸売場､低温倉庫,1930.0,1,
足立市場,大物低温卸売場、第二低温卸売場、冷蔵庫棟,2976.3,0,
板橋市場,青果部低温卸売場、○青果部仲卸低温倉庫、花き棟荷捌場,8193.7,2,
世田谷市場,○青果部低温卸売場、○低温倉庫、花き棟定温倉庫,882.3,2,
北足立市場,○青果部低温卸売場・予冷庫、◎仲卸組合定温倉庫,2749.18,3,
多摩ニュータウン市場,○低温倉庫,1234.1,0,
葛西市場,青果部低温卸売場、定温卸売場、定温荷捌場、花き棟プレハブ冷蔵庫,6209.78,0,
合計,,41490.57,36,
,,,,（面積：平成20年3月31日現在）
,,,,◎印は平成19年度の4回の巡回指導のうち、2回以上違反車両があった箇所、○印はいずれかの巡回指導で違反車両のあった箇所。
