地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,56202,100.0,438,100.0,5432,100.0,72,100.0,10154,100.0,69,100.0,0,-,0,-,4406,100.0,36,100.0,21043,100.0,39,100.0,805,100.0,7,100.0,2860,100.0,147,100.0,6,100.0,2,100.0,3648,100.0,21,100.0,5503,100.0,12,100.0,144,100.0,6,100.0,215,100.0,1,100.0,1505,100.0,10,100.0,425,100.0,6,100.0,56,100.0,10,100.0,
都内計,32320,57.5,349,79.7,3764,69.3,64,88.9,7636,75.2,61,88.4,0,-,0,-,2279,51.7,26,72.2,5900,28.0,24,61.5,128,15.9,2,28.6,2531,88.5,126,85.7,6,100.0,2,100.0,3395,93.1,13,61.9,5486,99.7,11,91.7,144,100.0,6,100.0,0,0.0,0,0.0,950,63.1,1,10.0,69,16.3,5,83.3,33,57.8,8,80.0,
23区計,22685,40.4,322,73.5,3314,61.0,62,86.1,5143,50.6,56,81.2,0,-,0,-,1675,38.0,22,61.1,2866,13.6,20,51.3,128,15.9,2,28.6,2469,86.4,122,83.0,6,100.0,2,100.0,1491,40.9,11,52.4,5486,99.7,11,91.7,5,3.3,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,69,16.3,5,83.3,33,57.8,8,80.0,
千代田区,674,1.2,10,2.3,1,0.0,1,1.4,142,1.4,1,1.4,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,0.8,5,3.4,0,0.0,0,0.0,503,13.8,2,9.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.1,1,16.7,0,0.0,0,0.0,
中央区,5996,10.7,21,4.8,403,7.4,1,1.4,5,0.0,1,1.4,0,-,0,-,712,16.2,1,2.8,0,0.0,0,0.0,0,0.0,0,0.0,133,4.6,7,4.8,0,0.0,0,0.0,717,19.7,3,14.3,4026,73.2,8,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
港区,59,0.1,12,2.7,2,0.0,1,1.4,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38,1.3,9,6.1,0,0.0,0,0.0,14,0.4,1,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,8.4,1,10.0,
新宿区,572,1.0,13,3.0,1,0.0,1,1.4,261,2.6,5,7.2,0,-,0,-,35,0.8,2,5.6,237,1.1,1,2.6,0,0.0,0,0.0,36,1.2,3,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.2,1,10.0,
文京区,539,1.0,5,1.1,5,0.1,1,1.4,356,3.5,1,1.4,0,-,0,-,162,3.7,1,2.8,0,0.0,0,0.0,0,0.0,0,0.0,17,0.6,2,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
台東区,16,0.0,4,0.9,0,0.0,0,0.0,5,0.1,2,2.9,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.4,2,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
墨田区,117,0.2,4,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,114,0.5,3,7.7,0,0.0,0,0.0,2,0.1,1,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
