部,切花／鉢物,市場,大型トラック(積載量６トン以上)搬出台数,大型トラック(積載量６トン以上)保冷有の台数,大型トラック(積載量６トン以上)保冷機能車両の割合（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷有の台数,中型トラック（積載量４～６トン未満）保冷機能車両の割合（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷有の台数,小型トラック（積載量２～４トン未満）保冷機能車両の割合（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷有の台数,積載量２トン未満の小型トラック保冷機能車両の割合（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷有の台数,軽自動車（貨物用）保冷機能車両の割合（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷有の台数,ライトバン・ワゴン車保冷機能車両の割合（％）,乗用車搬出台数,乗用車保冷有の台数,乗用車保冷機能車両の割合（％）,備考
水産物部,,築地,99,90,90.9,353,297,84.1,708,565,79.8,247,121,49.0,193,59,30.6,204,35,17.2%,58,5,8.6,
水産物部,,大田,2,2,100.0,20,18,90.0,128,113,88.3,33,24,72.7,71,24,33.8,43,4,9.3%,17,0,0.0,
水産物部,,足立,1,0,0.0,71,56,78.9,107,70,65.4,47,35,74.5,92,27,29.3,152,7,4.6%,90,1,1.1,
水産物部,,計,102,92,90.2,444,371,83.6,943,748,79.3,327,180,55.0,356,110,30.9,399,46,11.5%,165,6,3.6,
青果物部,,築地,37,7,18.9,68,18,26.5,131,16,12.2,76,3,3.9,63,3,4.8,169,3,1.8%,9,0,0.0,
青果物部,,大田,70,39,55.7,408,191,46.8,566,239,42.2,110,19,17.3,88,12,13.6,240,31,12.9%,13,1,7.7,
青果物部,,豊島,34,29,85.3,59,23,39.0,44,5,11.4,33,2,6.1,59,3,5.1,63,1,1.6%,3,0,0.0,
青果物部,,淀橋,28,14,50.0,78,38,48.7,151,24,15.9,113,12,10.6,74,1,1.4,160,13,8.1%,3,0,0.0,
青果物部,,板橋,14,2,14.3,81,31,38.3,76,11,14.5,55,0,0.0,23,0,0.0,58,3,5.2%,4,0,0.0,
青果物部,,世田谷,1,0,0.0,3,0,0.0,19,0,0.0,32,1,3.1,9,0,0.0,58,1,1.7%,0,0,-,
青果物部,,北足立,7,1,14.3,74,8,10.8,132,6,4.5,34,2,5.9,25,1,4.0,66,2,3.0%,1,0,0.0,
青果物部,,多摩NT,2,2,100.0,26,22,84.6,18,10,55.6,13,0,0.0,7,0,0.0,10,1,10.0%,0,0,-,
青果物部,,葛西,12,1,8.3,90,12,13.3,120,19,15.8,90,10,11.1,40,4,10.0,90,4,4.4%,4,0,0.0,
青果物部,,計,205,95,46.3,887,343,38.7,1257,330,26.3,556,49,8.8,388,24,6.2,914,59,6.5%,37,1,2.7,
畜産物部,,食肉市場,16,13,81.3,36,34,94.4,131,126,96.2,20,19,95.0,4,4,100.0,1,1,100.0%,0,0,0.0,
畜産物部,,計,16,13,81.3,36,34,94.4,131,126,96.2,20,19,95.0,4,4,100.0,1,1,100.0%,0,0,0.0,
花き部,切花,大田,20,13,65.0,120,48,40.0,120,30,25.0,24,4,16.7,31,5,16.1,78,9,11.5%,6,0,0.0,
花き部,切花,板橋,3,2,66.7,8,2,25.0,41,11,26.8,64,0,0.0,142,3,2.1,205,21,10.2%,64,0,0.0,
花き部,切花,北足立,0,0,-,12,2,16.7,29,2,6.9,6,2,33.3,15,0,0.0,28,2,7.1%,6,0,0.0,
花き部,切花,葛西,0,0,-,20,4,20.0,32,2,6.3,28,1,3.6,28,1,3.6,60,2,3.3%,10,1,10.0,
花き部,切花,世田谷,0,0,-,16,6,37.5,28,3,10.7,36,0,0.0,41,1,2.4,436,4,0.9%,38,0,0.0,
花き部,切花,計,23,15,65.2,176,62,35.2,250,48,19.2,158,7,4.4,257,10,3.9,807,38,4.7%,124,1,0.8,
花き部,鉢物,大田,3,0,0.0,22,2,9.1,34,5,14.7,15,1,6.7,20,0,0.0,28,2,7.1%,1,0,0.0,
花き部,鉢物,板橋,1,1,100.0,0,0,-,27,1,3.7,57,0,0.0,113,0,0.0,145,0,0.0%,57,0,0.0,
花き部,鉢物,北足立,0,0,-,5,0,0.0,12,1,8.3,6,1,16.7,11,1,9.1,21,3,14.3%,1,0,0.0,
花き部,鉢物,葛西,0,0,-,26,3,11.5,26,1,3.8,14,1,7.1,27,1,3.7,40,2,5.0%,1,1,100.0,
花き部,鉢物,世田谷,3,0,0.0,16,0,0.0,39,6,15.4,73,1,1.4,24,1,4.2,350,6,1.7%,6,0,0.0,
花き部,鉢物,計,7,1,14.3,69,5,7.2,138,14,10.1,165,4,2.4,195,3,1.5,584,13,2.2%,66,1,1.5,
,,,,,,,,,,,,,,,,,,,,,,,,（単位：台）
