市場,年,売上総利益率(％),経常利益率(％),自己資本比率(％),借入金比率(％)
全体,26,14.77,0.40,13.23,63.07
全体,27,14.30,0.60,15.56,60.59
築地市場,26,14.85,0.49,14.57,62.15
築地市場,27,14.32,0.67,16.88,59.75
足立市場,26,14.25,-1.08,12.27,74.57
足立市場,27,14.28,-0.39,19.59,63.50
大田市場,26,12.70,-0.57,-71.96,96.39
大田市場,27,13.47,-0.25,-64.23,100.81
