区分,入荷数量総数(kg),入荷数量野菜(kg),入荷数量果実(kg),入荷数量つけ物(kg),入荷数量その他食料品(kg),入荷数量鳥卵(kg),売上金額総数(円),売上金額野菜(円),売上金額果実(円),売上金額つけ物(円),売上金額その他食料品(円),売上金額鳥卵(円)
総数,167176907,125525275,39014304,771525,939417,926386,47579402782,31128422778,15537399630,481764109,208615415,223200850
築地市場総数,22791681,15945890,5717773,561305,185531,381182,7375814954,4633790769,2216173484,389163148,38551218,98136335
築地市場東京シティ青果,21884319,15945890,5717773,35125,185531,0,6912826020,4633790769,2216173484,24310549,38551218,0
築地市場中央漬物,526180,0,0,526180,0,0,364852599,0,0,364852599,0,0
築地市場中央鳥卵,381182,0,0,0,0,381182,98136335,0,0,0,0,98136335
大田市場総数,82582380,62055167,19785874,106738,328932,305669,24379041355,15449901233,8734016533,48387582,78730650,68005357
大田市場東京青果,58570582,44492559,13556006,59228,311731,151058,17953037610,11409477063,6412408517,25482075,70537777,35132178
大田市場荏原青果,17314736,13022541,4219913,284,324,71674,4812091175,3063127219,1732322437,136620,192729,16312170
大田市場神田青果,6632959,4540067,2009955,0,0,82937,1583143539,977296951,589285579,0,0,16561009
大田市場東梅食品,64103,0,0,47226,16877,0,30769031,0,0,22768887,8000144,0
北足立市場総数,12090440,8514997,3360893,28116,97372,89062,3194205745,2022131250,1121943764,10500169,20339330,19291232
北足立市場千住青果（本）,12090440,8514997,3360893,28116,97372,89062,3194205745,2022131250,1121943764,10500169,20339330,19291232
葛西市場総数,8387607,6178910,2091764,16318,71871,28744,2195917214,1456673800,709380999,3218425,19265191,7378799
葛西市場千住青果（支）,8387607,6178910,2091764,16318,71871,28744,2195917214,1456673800,709380999,3218425,19265191,7378799
豊島市場総数,7267114,6485600,715222,12093,25074,29125,1786941420,1446143295,323210468,5198582,5418038,6971037
豊島市場豊島青果（本）,7267114,6485600,715222,12093,25074,29125,1786941420,1446143295,323210468,5198582,5418038,6971037
淀橋市場総数,19635367,14987688,4394564,28128,174068,50919,5184211743,3513582578,1609751557,14966468,34125668,11785472
淀橋市場新宿ベジフル,19635367,14987688,4394564,28128,174068,50919,5184211743,3513582578,1609751557,14966468,34125668,11785472
板橋市場総数,9238084,6883806,2285198,13876,35207,19997,2188333306,1582857003,586267238,7523361,5932021,5753683
板橋市場豊島青果（支）,7241311,5238576,1933655,13876,35207,19997,1716223425,1205333196,491681164,7523361,5932021,5753683
板橋市場富士青果,1996773,1645230,351543,0,0,0,472109881,377523807,94586074,0,0,0
世田谷市場総数,3094619,2628688,419046,4910,20287,21688,743761666,591530857,137473134,2796384,6082356,5878935
世田谷市場荏原ベジフル,3094619,2628688,419046,4910,20287,21688,743761666,591530857,137473134,2796384,6082356,5878935
多摩ＮＴ市場総数,2089615,1844529,243970,41,1075,0,531175379,431811993,99182453,9990,170943,0
多摩ＮＴ市場東京ＮＴ青果,2089615,1844529,243970,41,1075,0,531175379,431811993,99182453,9990,170943,0
部類別平均価格,,,,,,,285,248,398,624,222,241
