地域,大田(％),築地(％),淀橋(％),北足立(％),葛西(％),板橋(％),豊島(％),世田谷(％),多摩NT(％)
所在区・地域,4.3,6.8,16.0,13.2,29.8,9.2,14.2,22.8,13.1
隣接区・地域・県,28.6,16.3,16.7,32.7,49.9,61.9,31.0,47.1,54.2
その他（より広域）,67.1,76.8,67.4,54.1,20.2,28.9,54.8,30.0,32.7
