部類,増加した業者(％),維持した業者(％),減少した業者(％),不明(％)
全体,51.5,7.7,36.0,4.8
水産物部,47.4,8.5,38.1,6.0
青果部,56.4,6.3,34.6,2.7
花き部,56.1,9.8,31.7,2.4
食肉部,80.8,3.8,11.6,3.8
