sijoryutu1_03,,,,,
年度,総数,23区,多摩,都外,備考
S33,3008,2676,35,296,
S35,5137,4168,146,823,
S37,4719,3885,137,697,
S39,5417,4464,176,776,
S45,7278,5423,293,1561,
S48,6859,4402,331,2215,
S51,8218,5381,481,2355,
S54,8662,5432,567,2663,
S58,9957,6096,779,3082,
S61,9318,5220,623,3176,
H01,8683,5519,592,2573,
H04,8377,5264,529,2584,
H07,8096,4771,521,2785,
H10,7992,4528,529,2880,
H13,8278,3938,423,3629,
H16,5599,2806,368,2155,
H21,9713,4394,584,4605,
,,,,,単位：トン
