業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,12,12,100.0,49,38,77.6,170,126,74.1,79,24,30.4,55,15,27.3,40,6,15.0,1,0,0.0
食料品等中心店,1,1,100.0,9,6,66.7,63,56,88.9,8,4,50.0,2,0,0.0,7,0,0.0,2,0,0.0
コンビニエンスストア,0,0,-,0,0,-,1,1,100.0,1,1,100.0,0,0,-,1,0,0.0,0,0,-
食料品スーパー,3,3,100.0,59,46,78.0,147,135,91.8,16,12,75.0,3,2,66.7,11,2,18.2,0,0,-
総合スーパー,3,3,100.0,36,28,77.8,56,47,83.9,8,8,100.0,2,0,0.0,4,1,25.0,0,0,-
百貨店,1,1,100.0,16,10,62.5,41,37,90.2,7,5,71.4,2,1,50.0,3,0,0.0,0,0,-
業務用,3,3,100.0,23,20,87.0,196,160,81.6,98,54,55.1,107,38,35.5,110,20,18.2,49,4,8.2
加工業者,4,2,50.0,8,4,50.0,12,9,75.0,3,1,33.3,3,0,0.0,2,0,0.0,0,0,-
問屋・納入業者,3,3,100.0,26,25,96.2,34,27,79.4,16,11,68.8,9,3,33.3,17,2,11.8,0,0,-
都内の中央卸売市場,3,3,100.0,13,12,92.3,15,8,53.3,0,0,-,1,1,100.0,1,1,100.0,0,0,-
都内の地方卸売市場,2,1,50.0,8,8,100.0,12,8,66.7,0,0,-,1,0,0.0,3,2,66.7,1,0,0.0
都外の中央卸売市場,20,18,90.0,37,35,94.6,37,33,89.2,6,2,33.3,0,0,-,2,1,50.0,0,0,-
都外の地方卸売市場,24,22,91.7,43,35,81.4,24,17,70.8,10,9,90.0,0,0,-,1,0,0.0,0,0,-
その他,27,25,92.6,56,54,96.4,21,18,85.7,11,5,45.5,8,2,25.0,7,2,28.6,5,1,20.0
不明,0,0,-,6,5,83.3,6,2,33.3,6,1,16.7,4,0,0.0,2,0,0.0,0,0,-
計,106,97,91.5,389,326,83.8,835,684,81.9,269,137,50.9,197,62,31.5,211,37,17.5,58,5,8.6
