項目,平成27年度（Ａ）(千円),平成27年度（Ａ）売上対比(％),平成26年度（Ｂ）(千円),平成26年度（Ｂ）売上対比(％),対前年度指数（Ａ/Ｂ）(％)
売上高実数受託販売金額,344317894,,325719248,,105.71
売上高実数買付販売金額,186626319,,177072834,,105.40
売上高実数卸売業務売上高,530944213,,502792082,,105.60
売上高実数兼業業務売上高,27412575,,27930882,,98.14
売上高実数売上高合計,558356788,,530722964,,105.21
売上高構成比受託販売(％),61.67,,61.37,,
売上高構成比買付販売(％),33.42,,33.36,,
売上高構成比卸売業務(％),95.09,,94.74,,
売上高構成比兼業業務(％),4.91,,5.26,,
卸売業務構成比率受託販売(％),64.85,,64.78,,
卸売業務構成比率買付販売(％),35.15,,35.22,,
売上損益受託販売手数料,27921444,5.00,26397090,4.97,105.77
売上損益受託販売手数料率(％),8.11,,8.10,,
売上損益買付販売損益,8084202,1.45,7379685,1.39,109.55
売上損益買付販売損益率(％),4.33,,4.17,,
売上損益兼業業務損益,2728354,0.49,2689926,0.51,101.43
売上損益兼業業務損益率(％),9.95,,9.63,,
売上損益売上総利益,38734000,6.94,36466701,6.87,106.22
売上損益売上総利益率(％),6.94,,6.87,,
販売費及び一般管理費販管費計,35931455,6.44,34529267,6.51,104.06
販売費及び一般管理費売上高割使用料,1390529,0.25,1317334,0.25,105.56
販売費及び一般管理費面積割使用料,1484037,0.27,1485402,0.28,99.91
販売費及び一般管理費出荷奨励金,4393711,0.79,4132919,0.78,106.31
販売費及び一般管理費完納奨励金,5116643,0.92,4842293,0.91,105.67
販売費及び一般管理費役員報酬,908567,0.16,894208,0.17,101.61
販売費及び一般管理費従業員給料手当,9458517,1.69,9376963,1.77,100.87
販売費及び一般管理費福利厚生費,2185877,0.39,2170191,0.41,100.72
販売費及び一般管理費退職給与金,34927,0.01,30189,0.01,115.69
販売費及び一般管理費退職給付引当金繰入,381607,0.07,342579,0.06,111.39
販売費及び一般管理費役員賞与,58465,0.01,41874,0.01,139.62
販売費及び一般管理費その他人件費,816796,0.15,780445,0.15,104.66
販売費及び一般管理費（人件費等）,13844756,2.48,13636449,2.57,101.53
販売費及び一般管理費受託品事故損,2741234,0.49,2393538,0.45,114.53
販売費及び一般管理費交際費,320302,0.06,312751,0.06,102.41
販売費及び一般管理費公租公課,159131,0.03,136482,0.03,116.59
販売費及び一般管理費その他,6481112,1.16,6272099,1.18,103.33
営業利益,2802545,0.50,1937434,0.37,144.65
営業外収益受取利息及び配当金,216007,0.04,211499,0.04,102.13
営業外収益その他,757680,0.14,639913,0.12,118.40
営業外収益計,973687,0.17,851412,0.16,114.36
営業外費用支払利息及び割引料,30983,0.01,30467,0.01,101.69
営業外費用その他,82691,0.01,92118,0.02,89.77
営業外費用計,113674,0.02,122585,0.02,92.73
経常利益,3662558,0.66,2666261,0.50,137.37
特別利益,142001,0.03,192155,0.04,73.90
特別損失,71955,0.01,699456,0.13,10.29
税引前当期利益,3732604,0.67,2158960,0.41,172.89
法人税等,1200083,0.21,1008102,0.19,119.04
法人税等調整額,163483,0.03,181565,0.03,90.04
当期純利益,2369038,0.42,969293,0.18,244.41
