項目,平成27年度（Ａ）(千円),平成27年度（Ａ）売上対比(％),平成26年度（Ｂ）(千円),平成26年度（Ｂ）売上対比(％),対前年度指数(Ａ/Ｂ)(％),
売上高実数受託販売金額,112988909,,117078721,,96.51,
売上高実数買付販売金額,318162686,,315858644,,100.73,
売上高実数卸売業務売上高,431151595,,432937365,,99.59,
売上高実数兼業業務売上高,68719458,,69000892,,99.59,
売上高実数売上高合計,499871053,,501938257,,99.59,
売上高構成比受託販売(％),22.6,,23.33,,,
売上高構成比買付販売(％),63.65,,62.93,,,
売上高構成比卸売業務(％),86.25,,86.25,,,
売上高構成比兼業業務(％),13.75,,13.75,,,
卸売業務構成比率受託販売(％),26.21,,27.04,,,
卸売業務構成比率買付販売(％),73.79,,72.96,,,
売上損益受託販売手数料,6210899,1.24,6435165,1.28,96.51,
売上損益受託販売手数料率(％),5.5,,5.5,,,
売上損益買付販売損益,13914821,2.78,13785341,2.75,100.94,
売上損益買付販売損益率(％),4.37,,4.36,,,
売上損益兼業業務損益,3331082,0.67,3485621,0.69,95.57,
売上損益兼業業務損益率(％),4.85,,5.05,,,
売上損益売上総利益,23456802,4.69,23706127,4.72,98.95,
売上損益売上総利益率(％),4.69,,4.72,,,
販売費及び一般管理費販管費計,20974274,4.2,21322295,4.25,98.37,
販売費及び一般管理費売上高割使用料,1092318,0.22,1097323,0.22,99.54,
販売費及び一般管理費面積割使用料,555351,0.11,556658,0.11,99.77,
販売費及び一般管理費出荷奨励金,438985,0.09,489712,0.1,89.64,
販売費及び一般管理費完納奨励金,736069,0.15,710386,0.14,103.62,
販売費及び一般管理費役員報酬,885551,0.18,858849,0.17,103.11,
販売費及び一般管理費従業員給料手当,7340247,1.47,7397882,1.47,99.22,
販売費及び一般管理費福利厚生費,1719529,0.34,1694057,0.34,101.5,
販売費及び一般管理費退職給与金,199712,0.04,170417,0.03,117.19,
販売費及び一般管理費退職給付引当金繰入,281535,0.06,339325,0.07,82.97,
販売費及び一般管理費役員賞与,0,0,0,0,,
販売費及び一般管理費その他人件費,123866,0.02,115319,0.02,107.41,
販売費及び一般管理費（人件費等）,10550440,2.11,10575849,2.11,99.76,
販売費及び一般管理費受託品事故損,12113,0,13637,0,88.82,
販売費及び一般管理費交際費,210320,0.04,195865,0.04,107.38,
販売費及び一般管理費公租公課,189735,0.04,162496,0.03,116.76,
販売費及び一般管理費その他,7188943,1.44,7520369,1.5,95.59,
営業利益,2482528,0.5,2383832,0.47,104.14,
営業外収益受取利息及び配当金,819036,0.16,853917,0.17,95.92,
営業外収益その他,319739,0.06,322295,0.06,99.21,
営業外収益計,1138775,0.23,1176212,0.23,96.82,
営業外費用支払利息及び割引料,220696,0.04,263208,0.05,83.85,
営業外費用その他,243657,0.05,180775,0.04,134.78,
営業外費用計,464353,0.09,443983,0.09,104.59,
経常利益,3156950,0.63,3116061,0.62,101.31,
特別利益,1463318,0.29,642497,0.13,227.75,
特別損失,454837,0.09,827517,0.16,54.96,
税引前当期利益,4165431,0.83,2931041,0.58,142.11,
法人税等,553175,0.11,526468,0.1,105.07,
法人税等調整額,163397,0.03,62556,0.01,261.2,
当期純利益,3448859,0.69,2342017,0.47,147.26,
,,,,,,※平成26年度（水産物部）においては、決算に一部修正がありましたので、修正後の数値を表示しました。
