地域,割合(％),搬出量(千本)
都内,37.3,
都内23区,32.0,
都内多摩,5.3,
首都圏,33.5,
首都圏埼玉,10.2,
首都圏千葉,10.0,
首都圏神奈川,13.3,
その他,28.3,
不明,0.9,
総数,100,6602
