科目,全体(千円),水産物(千円),青果(千円),花き(千円),食肉(千円)
流動資産,137640377,57704863,56552822,6140919,17241773
現金・預金,56735473,19492154,29762525,2067039,5413755
売掛債権,57045265,24739786,19985625,3658883,8660971
商品,10159515,5298171,2176312,78059,2606973
その他,13700124,8174752,4628360,336938,560074
固定資産,56883225,28677531,22306645,2472268,3426781
資産計,194523602,86382394,78859467,8613187,20668554
流動負債,79711962,37513609,29481793,3853025,8863535
買掛債務,29419841,12791264,11707243,2285854,2635480
短期借入金,36687452,18544568,11434076,1049233,5659575
その他,13604669,6177777,6340474,517938,568480
固定負債,64205970,35429205,18827954,2836613,7112198
長期借入金,60488483,33790628,17980187,2632811,6084857
その他,3717487,1638577,847767,203802,1027341
負債計,143917932,72942814,48309747,6689638,15975733
資本計,50605670,13439580,30549720,1923549,4692821
サンプル数(社、名),982,614,301,41,26
業者総数(社、名),1122,706,343,47,26
