地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,601300,100.0,897,100.0,136526,100.0,284,100.0,48893,100.0,97,100.0,87,100.0,1,100.0,119001,100.0,152,100.0,130240,100.0,111,100.0,0,-,0,-,64450,100.0,125,100.0,7415,100.0,8,100.0,1220,100.0,5,100.0,7090,100.0,59,100.0,0,-,0,-,9356,100.0,3,100.0,30762,100.0,13,100.0,40408,100.0,25,100.0,5853,100.0,14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都内計,394458,65.6,702,78.3,111204,81.5,248,87.3,29829,61.0,78,80.4,87,100.0,1,100.0,92118,77.4,128,84.2,56093,43.1,71,64.0,0,-,0,-,52389,81.3,101,80.8,3680,49.6,7,87.5,924,75.7,3,60.0,5530,78.0,51,86.4,0,-,0,-,0,0.0,0,0.0,19850,64.5,3,23.1,17907,44.3,9,36.0,4849,82.8,2,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23区計,389883,64.8,693,77.3,111204,81.5,248,87.3,28275,57.8,77,79.4,87,100.0,1,100.0,92118,77.4,128,84.2,56093,43.1,71,64.0,0,-,0,-,50191,77.9,94,75.2,3680,49.6,7,87.5,924,75.7,3,60.0,5530,78.0,51,86.4,0,-,0,-,0,0.0,0,0.0,19850,64.5,3,23.1,17083,42.3,8,32.0,4849,82.8,2,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千代田区,5221,0.9,16,1.8,750,0.5,4,1.4,0,0.0,0,0.0,0,0.0,0,0.0,2780,2.3,4,2.6,0,0.0,0,0.0,0,-,0,-,814,1.3,6,4.8,0,0.0,0,0.0,165,13.5,1,20.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,712,1.8,1,4.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区,11359,1.9,20,2.2,3147,2.3,9,3.2,3106,6.4,1,1.0,0,0.0,0,0.0,4000,3.4,2,1.3,0,0.0,0,0.0,0,-,0,-,863,1.3,7,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,243,0.6,1,4.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,2936,0.5,6,0.7,390,0.3,2,0.7,0,0.0,0,0.0,0,0.0,0,0.0,2432,2.0,2,1.3,0,0.0,0,0.0,0,-,0,-,114,0.2,2,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿区,913,0.2,3,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,731,0.6,1,0.7,0,0.0,0,0.0,0,-,0,-,182,0.3,2,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文京区,1508,0.3,4,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1326,1.1,2,1.3,0,0.0,0,0.0,0,-,0,-,182,0.3,2,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東区,6168,1.0,11,1.2,3066,2.2,6,2.1,0,0.0,0,0.0,0,0.0,0,0.0,1287,1.1,3,2.0,0,0.0,0,0.0,0,-,0,-,182,0.3,1,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,1632,4.0,1,4.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨田区,26235,4.4,96,10.7,14109,10.3,43,15.1,1685,3.4,11,11.3,0,0.0,0,0.0,5167,4.3,16,10.5,1374,1.1,10,9.0,0,-,0,-,2526,3.9,6,4.8,0,0.0,0,0.0,0,0.0,0,0.0,1374,19.4,10,16.9,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
