部類,増加した業者(％),減少した業者(％),不明(％)
全体,45.8,49.2,5.0
水産物部,43.6,50.2,6.2
青果部,48.5,48.5,3.0
花き部,53.7,43.9,2.4
食肉部,53.8,42.4,3.8
