地域,大田(％),世田谷(％),板橋(％),北足立(％),葛西(％)
所在区・地域,4.0,18.5,5.5,11.4,33.3
隣接区・地域・県,36.3,40.9,55.1,35.6,47.5
その他（より広域）,59.7,40.6,39.5,53.1,19.2
