区分,総数,鮮魚,活魚類,貝類,冷凍魚,淡水魚,海そう類,加工品
総数数量(kg),30777424,11189338,1270076,1908723,6077714,182790,589995,9558788
総数金額(円),34415549580,12072593498,1854242391,2409246393,8413384752,317142150,305165431,9043774965
築地市場総数数量(kg),29063059,10759244,1058212,1796722,5743751,176774,560511,8967845
築地市場総数金額(円),32448546289,11455359875,1594134243,2288025542,7976714446,307102234,287847874,8539362075
築地市場大都魚類数量(kg),5492488,2351734,255887,421612,1553769,22889,36160,850437
築地市場大都魚類金額(円),6075357025,2348652008,386537560,582503492,1915135650,46135661,20754403,775638251
築地市場中央魚類数量(kg),6995540,3269119,258620,368020,1763018,22431,68072,1246260
築地市場中央魚類金額(円),8096908556,2918258998,386019708,564928353,2677081424,45398516,44901437,1460320120
築地市場東都水産数量(kg),4550442,2009512,189903,339822,991914,37553,30298,951440
築地市場東都水産金額(円),5745329808,2346909291,299456959,395962774,1417188396,67944419,19575436,1198292533
築地市場築地魚市場数量(kg),4656896,2061274,220279,240863,804593,52140,85308,1192439
築地市場築地魚市場金額(円),5386026806,2329264849,314762995,319635876,1163683496,92307873,57338553,1109033164
築地市場第一水産数量(kg),2717857,1067605,133523,421525,350018,41741,51858,651587
築地市場第一水産金額(円),3389634838,1512274729,207357021,415573915,514424026,55294165,23899519,660811463
築地市場丸千千代田水産数量(kg),4358751,0,0,3317,233593,0,287227,3834614
築地市場丸千千代田水産金額(円),3364585497,0,0,7111206,223058973,0,119552686,3014862632
築地市場綜合食品数量(kg),291085,0,0,1563,46846,20,1588,241068
築地市場綜合食品金額(円),390703759,0,0,2309926,66142481,21600,1825840,320403912
足立市場総数数量(kg),1114954,260335,87641,77283,269973,4921,22984,391817
足立市場総数金額(円),1192933898,286323330,102036310,87627765,332811697,8023575,12713336,363397885
足立市場東京北魚数量(kg),789183,147670,79561,54053,166790,3863,14235,323011
足立市場東京北魚金額(円),785545010,156634576,90772523,59738909,191654748,6738753,8500530,271504971
足立市場大都魚類･千住数量(kg),325771,112665,8080,23230,103183,1058,8749,68806
足立市場大都魚類･千住金額(円),407388888,129688754,11263787,27888856,141156949,1284822,4212806,91892914
大田市場総数数量(kg),599411,169759,124223,34718,63990,1095,6500,199126
大田市場総数金額(円),774069393,330910293,158071838,33593086,103858609,2016341,4604221,141015005
大田市場大都魚類･大田数量(kg),599411,169759,124223,34718,63990,1095,6500,199126
大田市場大都魚類･大田金額(円),774069393,330910293,158071838,33593086,103858609,2016341,4604221,141015005
部類別平均価格(円),1118,1079,1460,1262,1384,1735,517,946
