区分,入荷数量総数(kg),入荷数量野菜(kg),入荷数量果実(kg),入荷数量つけ物(kg),入荷数量その他食料品(kg),入荷数量鳥卵(kg),売上金額総数(円),売上金額野菜(円),売上金額果実(円),売上金額つけ物(円),売上金額その他食料品(円),売上金額鳥卵(円)
総数,1993439315,1521455686,434622830,11568663,13823696,11968440,599267616710,408082203145,178406505839,6702720773,2983995522,3092191431
築地市場総数,262014752,189996181,56271295,8080584,2682362,4984330,90862192223,59868827959,23824753100,5225924919,580713085,1361973160
築地市場東京シティ青果,249545692,189996181,56271295,595854,2682362,0,84619194214,59868827959,23824753100,344900070,580713085,0
築地市場中央漬物,7484730,0,0,7484730,0,0,4881024849,0,0,4881024849,0,0
築地市場中央鳥卵,4984330,0,0,0,0,4984330,1361973160,0,0,0,0,1361973160
大田市場総数,952492718,719784771,221527948,1731988,5528279,3919732,300914192459,197063658451,101020719648,765494985,1117322002,946997373
大田市場東京青果,669995764,498002191,163718755,1036517,5274799,1963502,221147489397,141591334508,77629160372,428494333,997474914,501025270
大田市場荏原青果,196830197,157560449,38468560,11559,8561,781068,57686181431,40357865302,17127987642,7512171,3112397,189703919
大田市場神田青果,84739129,64222131,19340633,0,1203,1175162,21635263582,15114458641,6263571634,0,965123,256268184
大田市場東梅食品,927628,0,0,683912,243716,0,445258049,0,0,329488481,115769568,0
北足立市場総数,149728567,107714151,39028326,510888,1388939,1086263,41210386823,26621568154,13849908125,183458359,299528629,255923556
北足立市場千住青果（本）,149728567,107714151,39028326,510888,1388939,1086263,41210386823,26621568154,13849908125,183458359,299528629,255923556
葛西市場総数,120128085,93687407,25092922,191986,782426,373344,30641938615,21838615525,8434342574,50215595,214356635,104408286
葛西市場千住青果（支）,120128085,93687407,25092922,191986,782426,373344,30641938615,21838615525,8434342574,50215595,214356635,104408286
豊島市場総数,92814080,81370806,10611152,196623,298058,337441,23415175895,19191817755,3972494520,80294533,82802675,87766412
豊島市場豊島青果（本）,92814080,81370806,10611152,196623,298058,337441,23415175895,19191817755,3972494520,80294533,82802675,87766412
淀橋市場総数,231267642,180961121,46871975,462020,2281939,690587,64433538295,46457438358,17072028639,231160127,501122958,171788213
淀橋市場新宿ベジフル,231267642,180961121,46871975,462020,2281939,690587,64433538295,46457438358,17072028639,231160127,501122958,171788213
板橋市場総数,119296986,91063622,27285370,268600,422688,256706,30307747423,22729706955,7316565515,112312939,75161419,74000595
板橋市場豊島青果（支）,92021036,67364279,23708763,268600,422688,256706,23356592174,16825046712,6270070509,112312939,75161419,74000595
板橋市場富士青果,27275950,23699343,3576607,0,0,0,6951155249,5904660243,1046495006,0,0,0
世田谷市場総数,40394331,34652039,4884082,124390,413783,320037,10439145136,8491999797,1694669042,53331692,109810769,89333836
世田谷市場荏原ベジフル,40394331,34652039,4884082,124390,413783,320037,10439145136,8491999797,1694669042,53331692,109810769,89333836
多摩ＮＴ市場総数,25302154,22225588,3049760,1584,25222,0,7043299841,5818570191,1221024676,527624,3177350,0
多摩ＮＴ市場東京ＮＴ青果,25302154,22225588,3049760,1584,25222,0,7043299841,5818570191,1221024676,527624,3177350,0
部類別平均価格,,,,,,,301,268,410,579,216,258
