年度,ディーゼル車,ガソリン車,ＬＰＧ車,低排出ガス車,電動車,合計,低公害化率（％）
14,109,3180,1543,0,1877,6709,28.0
15,99,3009,1708,0,2004,6820,29.4
16,65,2732,1688,0,2201,6686,32.9
17,63,2374,1509,119,2674,6739,41.4
18,53,2113,1241,329,3037,6773,49.7
19,38,1670,874,595,3405,6582,60.8
