部類,△50％未満業者数(社),△50％未満業者割合(％),△50％以上0％未満業者数(社),△50％以上0％未満業者割合(％),0％以上10％未満業者数(社),0％以上10％未満業者割合(％),10％以上50％未満業者数(社),10％以上50％未満業者割合(％),50％以上業者数(社),50％以上業者割合(％)
全体,224,22.8,160,16.3,87,8.9,279,28.4,232,23.6
水産物部,171,27.8,104,16.9,54,8.8,160,26.1,125,20.4
青果部,47,15.6,42,14.0,29,9.6,85,28.2,98,32.6
花き部,6,14.6,12,29.3,1,2.4,14,34.2,8,19.5
食肉部,0,0.0,2,7.7,3,11.5,20,77.0,1,3.8
