市場,取扱数量（平成27年）(トン),割合(％),取扱金額（平成27年）(千円),割合(％)
大田市場,961657,40.4,288999128,43.4
築地市場,271657,11.4,88955890,13.4
東京都国立地方卸売市場,259742,10.9,66646333,10.0
淀橋市場,234789,9.9,60812139,9.1
北足立市場,154886,6.5,40277809,6.1
葛西市場,128713,5.4,30979939,4.7
板橋市場,122946,5.2,30009477,4.5
豊島市場,93915,3.9,22488778,3.4
東京都東久留米地方卸売市場,61714,2.6,14607406,2.2
世田谷市場,41256,1.7,10072918,1.5
多摩ニュータウン市場,25884,1.1,6679383,1.0
東京都八王子北野地方卸売市場,19402,0.8,4938762,0.7
東京都練馬青果地方卸売市場,20158,0.8,4251347,0.6
東京都青梅青果地方卸売市場,1599,0.1,384741,0.1
