部類,連続黒字業者(％),前年調査連続黒字業者(％),黒字転換業者(％),前年調査黒字転換業者(％),赤字転落業者(％),前年調査赤字転落業者(％),連続赤字業者(％),前年調査連続赤字業者(％),不明(％),前年調査不明(％)
全体,40.3,38.8,11.8,12.4,10.6,11.5,32.5,35.2,4.8,2.1
水産物部,36.6,37.3,11.6,12.1,12.1,12.1,33.7,36.4,6.0,2.1
青果部,45.2,41.1,12.3,11.0,7.6,10.7,32.2,34.6,2.7,2.6
花き部,44.0,42.8,19.5,16.7,14.6,14.3,19.5,26.2,2.4,0.0
食肉部,65.5,40.0,0.0,32.0,3.8,4.0,26.9,24.0,3.8,0.0
