地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,173666,100.0,547,100.0,119493,100.0,477,100.0,0,-,0,-,17,-,1,100.0,2666,100.0,5,100.0,14198,100.0,14,100.0,2529,100.0,6,100.0,65,100.0,5,100.0,17,100.0,1,100.0,32738,100.0,29,100.0,0,-,0,-,0,-,0,-,0,-,0,-,1485,100.0,1,100.0,459,100.0,8,100.0,0,-,0,-,
都内計,71679,41.3,327,59.8,57538,48.2,295,61.8,0,-,0,-,17,100.0,1,100.0,101,3.8,3,60.0,5676,40.0,8,57.1,33,1.3,1,16.7,46,70.5,3,60.0,17,100.0,1,100.0,7891,24.1,11,37.9,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,360,78.5,4,50.0,0,-,0,-,
23区計,44194,25.4,223,40.8,34922,29.2,202,42.3,0,-,0,-,17,100.0,1,100.0,25,0.9,2,40.0,1062,7.5,5,35.7,0,0.0,0,0.0,46,70.5,3,60.0,0,0.0,0,0.0,7771,23.7,7,24.1,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,352,76.7,3,37.5,0,-,0,-,
千代田区,1222,0.7,5,0.9,1222,1.0,5,1.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
中央区,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
港区,786,0.5,16,2.9,679,0.6,11,2.3,0,-,0,-,0,0.0,0,0.0,12,0.5,1,20.0,42,0.3,2,14.3,0,0.0,0,0.0,2,3.8,1,20.0,0,0.0,0,0.0,50,0.2,1,3.4,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
新宿区,1058,0.6,11,2.0,992,0.8,9,1.9,0,-,0,-,17,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50,0.2,1,3.4,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
文京区,25,0.0,1,0.2,25,0.0,1,0.2,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
台東区,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
墨田区,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
江東区,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
品川区,395,0.2,4,0.7,383,0.3,3,0.6,0,-,0,-,0,0.0,0,0.0,12,0.5,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
目黒区,3611,2.1,16,2.9,3570,3.0,15,3.1,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42,64.1,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
大田区,3924,2.3,8,1.5,3610,3.0,7,1.5,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,315,1.0,1,3.4,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
世田谷区,23999,13.8,95,17.4,15317,12.8,85,17.8,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,1021,7.2,3,21.4,0,0.0,0,0.0,2,2.6,1,20.0,0,0.0,0,0.0,7307,22.3,3,10.3,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,352,76.7,3,37.5,0,-,0,-,
渋谷区,1272,0.7,19,3.5,1222,1.0,18,3.8,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50,0.2,1,3.4,0,-,0,-,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
