地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考
合計,801954,100.0,631,100.0,583305,100.0,539,100.0,4043,100.0,2,100.0,0,-,0,-,6388,100.0,7,100.0,617,100.0,1,100.0,617,100.0,1,100.0,72710,100.0,47,100.0,42588,100.0,13,100.0,79205,100.0,13,100.0,1158,100.0,2,100.0,0,-,0,-,0,-,0,-,9239,100.0,4,100.0,2084,100.0,2,100.0,0,-,0,-,
都内計,483136,60.2,445,70.5,372199,63.8,381,70.7,2037,50.4,1,50.0,0,-,0,-,3147,49.3,5,71.4,617,100.0,1,100.0,617,100.0,1,100.0,53014,72.9,34,72.3,19905,46.7,10,76.9,28330,35.8,7,53.8,1158,100.0,2,100.0,0,-,0,-,0,-,0,-,27,0.3,1,25.0,2084,100.0,2,100.0,0,-,0,-,
23区計,341395,42.6,314,49.8,274561,47.1,268,49.7,0,0.0,0,0.0,0,-,0,-,1943,30.4,3,42.9,0,0.0,0,0.0,0,0.0,0,0.0,37969,52.2,29,61.7,5509,12.9,4,30.8,18146,22.9,5,38.5,1158,100.0,2,100.0,0,-,0,-,0,-,0,-,27,0.3,1,25.0,2084,100.0,2,100.0,0,-,0,-,
千代田区,15686,2.0,9,1.4,5408,0.9,6,1.1,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10278,14.1,3,6.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
中央区,1806,0.2,3,0.5,1806,0.3,3,0.6,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
港区,35304,4.4,25,4.0,31371,5.4,20,3.7,0,0.0,0,0.0,0,-,0,-,926,14.5,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,2406,3.3,3,6.4,0,0.0,0,0.0,602,0.8,1,7.7,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
新宿区,11385,1.4,13,2.1,8518,1.5,10,1.9,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,876,1.2,2,4.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,1991,95.6,1,50.0,0,-,0,-,
文京区,3638,0.5,2,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,0.0,1,2.1,3611,8.5,1,7.7,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
台東区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
墨田区,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,
