業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,4,1,25.0,8,1,12.5,54,5,9.3,47,0,0.0,20,0,0.0,77,1,1.3,3,0,0.0
食料品等中心店,0,0,-,1,0,0.0,7,0,0.0,2,0,0.0,4,0,0.0,11,0,0.0,0,0,-
コンビニエンスストア,0,0,-,0,0,-,1,0,0.0,0,0,-,1,0,0.0,1,0,0.0,0,0,-
食料品スーパー,7,1,14.3,6,4,66.7,13,2,15.4,5,1,20.0,5,1,20.0,4,0,0.0,0,0,-
総合スーパー,4,0,0.0,12,3,25.0,2,1,50.0,1,0,0.0,1,0,0.0,3,0,0.0,0,0,-
百貨店,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-,1,0,0.0,0,0,-
業務用,2,0,0.0,2,1,50.0,24,5,20.8,13,1,7.7,17,1,5.9,53,2,3.8,6,0,0.0
加工業者,0,0,-,1,0,0.0,2,2,100.0,0,0,-,0,0,-,2,0,0.0,0,0,-
問屋・納入業者,2,1,50.0,5,1,20.0,6,0,0.0,5,0,0.0,8,0,0.0,14,0,0.0,0,0,-
都内の中央卸売市場,3,0,0.0,12,2,16.7,3,1,33.3,0,0,-,1,0,0.0,0,0,-,0,0,-
都内の地方卸売市場,0,0,-,2,0,0.0,3,1,33.3,0,0,-,1,0,0.0,2,0,0.0,0,0,-
都外の中央卸売市場,5,1,20.0,3,0,0.0,3,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
都外の地方卸売市場,3,1,33.3,11,5,45.5,4,0,0.0,1,0,0.0,0,0,-,4,0,0.0,0,0,-
その他,2,0,0.0,3,1,33.3,8,1,12.5,2,1,50.0,5,1,20.0,1,0,0.0,0,0,-
不明,5,2,40.0,2,0,0.0,5,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,0,0,-
計,38,7,18.4,68,18,26.5,135,18,13.3,78,3,3.8,66,3,4.5,176,3,1.7,9,0,0.0
