科目,平成27年度（Ａ）(千円),平成27年度（Ａ）構成比(％),平成26年度（Ｂ）(千円),平成26年度（Ｂ）構成比(％),対前年度指数（Ａ/Ｂ）(％)
流動資産現金・預金,5681378,29.10,6460602,37.67,87.94
流動資産売掛金,5882747,30.13,5330357,31.08,110.36
流動資産受取手形,0,0.00,0,0.00,
流動資産有価証券,0,0.00,0,0.00,
流動資産荷主前渡金,0,0.00,0,0.00,
流動資産（当座資産計）,11564125,59.23,11790959,68.75,98.08
流動資産商品,0,0.00,0,0.00,
流動資産短期貸付金,90793,0.47,67104,0.39,135.30
流動資産その他,158203,0.81,227901,1.33,69.42
流動資産貸倒引当金,-34059,-0.17,-20439,-0.12,
流動資産計,11779062,60.33,12065525,70.35,97.63
固定資産建物・設備等,6710543,34.37,6442389,37.56,104.16
固定資産減価償却累計額,-4855545,-24.87,-4714943,-27.49,
固定資産土地,87752,0.45,87752,0.51,100.00
固定資産建設仮勘定,105420,0.54,105420,0.61,100.00
固定資産（有形固定資産計）,2048170,10.49,1920618,11.20,106.64
固定資産（無形固定資産計）,178183,0.91,227313,1.33,78.39
固定資産投資有価証券,424189,2.17,320700,1.87,132.27
固定資産子会社株式,643735,3.30,643736,3.75,100.00
固定資産出資金,6560,0.03,6560,0.04,100.00
固定資産長期貸付金,2850118,14.60,373129,2.18,763.84
固定資産開設者預託保証金,40500,0.21,40500,0.24,100.00
固定資産長期前払費用,109523,0.56,132558,0.77,82.62
固定資産その他,1629074,8.34,1650423,9.62,98.71
固定資産貸倒引当金,-184036,-0.94,-230920,-1.35,
固定資産（投資その他の資産計）,5519663,28.27,2936686,17.12,187.96
固定資産計,7746016,39.67,5084617,29.65,152.34
繰延資産,0,0.00,0,0.00,
資産合計,19525078,100.00,17150142,100.00,113.85
流動負債受託販売未払金,5296981,27.13,4959172,28.92,106.81
流動負債買掛金,207008,1.06,196566,1.15,105.31
流動負債支払手形,0,0.00,0,0.00,
流動負債短期借入金,542252,2.78,213877,1.25,253.53
流動負債未払税金,178474,0.91,245429,1.43,72.72
流動負債賞与引当金,99917,0.51,96790,0.56,103.23
流動負債その他,1091289,5.59,822861,4.80,132.62
流動負債計,7415921,37.98,6534695,38.10,113.49
固定負債長期借入金,1461139,7.48,182621,1.06,800.09
固定負債退職給付引当金,407855,2.09,385292,2.25,105.86
固定負債その他,1333659,6.83,1330365,7.76,100.25
固定負債計,3202653,16.40,1898278,11.07,168.71
負債合計,10618574,54.38,8432973,49.17,125.92
純資産資本金,2026000,10.38,2026000,11.81,100.00
純資産資本剰余金,502867,2.58,502867,2.93,100.00
純資産利益剰余金,6956870,35.63,6766707,39.46,102.81
純資産（うち当期純利益）,285678,1.46,330586,1.93,86.42
純資産自己株式,-579233,-2.97,-578405,-3.37,
純資産その他株主資本,0,0.00,0,0.00,
純資産評価・換算差額等,0,0.00,0,0.00,
純資産新株予約権,0,0.00,0,0.00,
純資産計,8906504,45.62,8717169,50.83,102.17
負債・純資産合計,19525078,100.00,17150142,100.00,113.85
