資産の部,資産の部(千円),負債及び純資産の部,負債及び純資産の部(千円)
(1)流動資産,1452960,(1)流動負債,899035
現金,24684,受託販売未払金,0
預金,568536,支払手形（受託）,0
売掛金,715143,荷主預り金,0
受取手形,52508,（小計）,0
有価証券,0,買掛金（買付）,570266
親会社株式,0,支払手形（買付）,257709
商品,64216,預り金（買付）,0
貯蔵品,0,（小計）,827975
前渡金,0,買掛金（その他）,0
荷主前渡金,0,支払手形（その他）,0
前払費用,1646,短期借入金,21436
未収収益,0,未払金,16135
立替金,0,未払税金,9146
短期貸付金,0,未払費用,7337
未収金,1047,前受金,46
仮払金,334,預り金（その他）,4732
繰延税金資産,0,前受収益,0
その他,33304,仮受金,0
,,繰延税金負債,0
貸倒引当金,-8458,賞与引当金,12050
,,その他,178
(2)固定資産,223292,(2)固定負債,124727
１有形固定資産,26289,長期借入金,51410
建物・設備等,212133,預り保証金,7145
土地,630,長期繰延税金負債,0
建設仮勘定,0,退職給付引当金,25736
減価償却累計額,-186474,役員退職慰労引当金,0
２無形固定資産,11474,その他,40436
３投資その他の資産,185529,,
投資有価証券,2233,負債合計,1023762
子会社株式,10000,,
出資金,1270,株主資本,652490
子会社出資金,0,１資本金,72000
長期貸付金,20000,２新株式申込証拠金,0
開設者預託保証金,6700,３資本剰余金,5000
定期預金,31500,資本準備金,5000
長期前払費用,868,その他資本剰余金,0
事業者保険料,64469,４利益剰余金,615400
長期繰延税金資産,0,利益準備金,14500
その他,59489,その他利益剰余金,600900
,,（うち繰越利益剰余金）,159900
貸倒引当金,-11000,（うち当期純利益）,-2202
,,５自己株式,-39910
(3)繰延資産,0,６自己株式申込証拠金,0
,,(2)評価・換算差額等,0
,,(3)新株予約権,0
,,純資産合計,652490
資産合計,1676252,負債及び純資産合計,1676252
,,自己資本比率(％),38.9
,,流動比率(％),161.6
